response,context,context/0,context/1,context/2,context/3,context/4,context/5
mein pi si si par jata hon .,aap kis shool mein jatay hain ?,mein acha raha mein abhi shool mein hon,mein bohat acha raha hon. aap ke baray mein kya hai,"koi masla nahi. to, tum kaisay rahay ?",mein kaafi acha hon. poochnay ka shukriya .,mein theek hon. apne baray mein kya khayaal hai ?,hello tum kaisay ho ?
kya aap ko wahan pasand hai ?,mein pi si si par jata hon .,aap kis shool mein jatay hain ?,mein acha raha mein abhi shool mein hon,mein bohat acha raha hon. aap ke baray mein kya hai,"koi masla nahi. to, tum kaisay rahay ?",mein kaafi acha hon. poochnay ka shukriya .,mein theek hon. apne baray mein kya khayaal hai ?
koi baat nahi. yeh waqai aik bara camps hai .,kya aap ko wahan pasand hai ?,mein pi si si par jata hon .,aap kis shool mein jatay hain ?,mein acha raha mein abhi shool mein hon,mein bohat acha raha hon. aap ke baray mein kya hai,"koi masla nahi. to, tum kaisay rahay ?",mein kaafi acha hon. poochnay ka shukriya .
school ke sath achi qismat .,koi baat nahi. yeh waqai aik bara camps hai .,kya aap ko wahan pasand hai ?,mein pi si si par jata hon .,aap kis shool mein jatay hain ?,mein acha raha mein abhi shool mein hon,mein bohat acha raha hon. aap ke baray mein kya hai,"koi masla nahi. to, tum kaisay rahay ?"
kaisa chal raha hai ?,school ke sath achi qismat .,koi baat nahi. yeh waqai aik bara camps hai .,kya aap ko wahan pasand hai ?,mein pi si si par jata hon .,aap kis shool mein jatay hain ?,mein acha raha mein abhi shool mein hon,mein bohat acha raha hon. aap ke baray mein kya hai
mein acha kar raha hon tum kaisay ho ?,kaisa chal raha hai ?,school ke sath achi qismat .,koi baat nahi. yeh waqai aik bara camps hai .,kya aap ko wahan pasand hai ?,mein pi si si par jata hon .,aap kis shool mein jatay hain ?,mein acha raha mein abhi shool mein hon
"kabhi behtar nahi, shukriya .",mein acha kar raha hon tum kaisay ho ?,kaisa chal raha hai ?,school ke sath achi qismat .,koi baat nahi. yeh waqai aik bara camps hai .,kya aap ko wahan pasand hai ?,mein pi si si par jata hon .,aap kis shool mein jatay hain ?
to aap haal hi mein kaisay hain ?,"kabhi behtar nahi, shukriya .",mein acha kar raha hon tum kaisay ho ?,kaisa chal raha hai ?,school ke sath achi qismat .,koi baat nahi. yeh waqai aik bara camps hai .,kya aap ko wahan pasand hai ?,mein pi si si par jata hon .
mein waqai mein bohat acha raha hon. tum ?,to aap haal hi mein kaisay hain ?,"kabhi behtar nahi, shukriya .",mein acha kar raha hon tum kaisay ho ?,kaisa chal raha hai ?,school ke sath achi qismat .,koi baat nahi. yeh waqai aik bara camps hai .,kya aap ko wahan pasand hai ?
mein waqai is waqt school mein hon .,mein waqai mein bohat acha raha hon. tum ?,to aap haal hi mein kaisay hain ?,"kabhi behtar nahi, shukriya .",mein acha kar raha hon tum kaisay ho ?,kaisa chal raha hai ?,school ke sath achi qismat .,koi baat nahi. yeh waqai aik bara camps hai .
aap kis shool mein parhte hain ?,mein waqai is waqt school mein hon .,mein waqai mein bohat acha raha hon. tum ?,to aap haal hi mein kaisay hain ?,"kabhi behtar nahi, shukriya .",mein acha kar raha hon tum kaisay ho ?,kaisa chal raha hai ?,school ke sath achi qismat .
mein abhi pi si si mein shirkat kar raha hon .,aap kis shool mein parhte hain ?,mein waqai is waqt school mein hon .,mein waqai mein bohat acha raha hon. tum ?,to aap haal hi mein kaisay hain ?,"kabhi behtar nahi, shukriya .",mein acha kar raha hon tum kaisay ho ?,kaisa chal raha hai ?
kya aap wahan se lutaf andoz ho rahay hain ?,mein abhi pi si si mein shirkat kar raha hon .,aap kis shool mein parhte hain ?,mein waqai is waqt school mein hon .,mein waqai mein bohat acha raha hon. tum ?,to aap haal hi mein kaisay hain ?,"kabhi behtar nahi, shukriya .",mein acha kar raha hon tum kaisay ho ?
yeh bura nahi hai. wahan bohat se log hain .,kya aap wahan se lutaf andoz ho rahay hain ?,mein abhi pi si si mein shirkat kar raha hon .,aap kis shool mein parhte hain ?,mein waqai is waqt school mein hon .,mein waqai mein bohat acha raha hon. tum ?,to aap haal hi mein kaisay hain ?,"kabhi behtar nahi, shukriya ."
is ke sath achi qismat .,yeh bura nahi hai. wahan bohat se log hain .,kya aap wahan se lutaf andoz ho rahay hain ?,mein abhi pi si si mein shirkat kar raha hon .,aap kis shool mein parhte hain ?,mein waqai is waqt school mein hon .,mein waqai mein bohat acha raha hon. tum ?,to aap haal hi mein kaisay hain ?
aaj aap kaisay hain,is ke sath achi qismat .,yeh bura nahi hai. wahan bohat se log hain .,kya aap wahan se lutaf andoz ho rahay hain ?,mein abhi pi si si mein shirkat kar raha hon .,aap kis shool mein parhte hain ?,mein waqai is waqt school mein hon .,mein waqai mein bohat acha raha hon. tum ?
mein bohat acha kar raha hon aap ke baray mein kya hai,aaj aap kaisay hain,is ke sath achi qismat .,yeh bura nahi hai. wahan bohat se log hain .,kya aap wahan se lutaf andoz ho rahay hain ?,mein abhi pi si si mein shirkat kar raha hon .,aap kis shool mein parhte hain ?,mein waqai is waqt school mein hon .
"mein bilkul pyara hon, shukriya .",mein bohat acha kar raha hon aap ke baray mein kya hai,aaj aap kaisay hain,is ke sath achi qismat .,yeh bura nahi hai. wahan bohat se log hain .,kya aap wahan se lutaf andoz ho rahay hain ?,mein abhi pi si si mein shirkat kar raha hon .,aap kis shool mein parhte hain ?
aap ke sath sab acha raha hai ?,"mein bilkul pyara hon, shukriya .",mein bohat acha kar raha hon aap ke baray mein kya hai,aaj aap kaisay hain,is ke sath achi qismat .,yeh bura nahi hai. wahan bohat se log hain .,kya aap wahan se lutaf andoz ho rahay hain ?,mein abhi pi si si mein shirkat kar raha hon .
mein behtar nahi sunhwa apne baray mein kya khayaal hai ?,aap ke sath sab acha raha hai ?,"mein bilkul pyara hon, shukriya .",mein bohat acha kar raha hon aap ke baray mein kya hai,aaj aap kaisay hain,is ke sath achi qismat .,yeh bura nahi hai. wahan bohat se log hain .,kya aap wahan se lutaf andoz ho rahay hain ?
mein ne haal hi mein school shuru kya .,mein behtar nahi sunhwa apne baray mein kya khayaal hai ?,aap ke sath sab acha raha hai ?,"mein bilkul pyara hon, shukriya .",mein bohat acha kar raha hon aap ke baray mein kya hai,aaj aap kaisay hain,is ke sath achi qismat .,yeh bura nahi hai. wahan bohat se log hain .
