response,context,context/0,context/1,context/2,context/3,context/4,context/5
waqai nahi.  aam tor par mukhtasir hotay hain lekin yeh janna dilchasp hai ke log kahan se aa rahay hain aur un ke liye kya ahmiyat rakhta hai,kya aap ab bhi un logon se baat karte hain jin se aap mlitay hain ?,mere khayaal mein yeh Australia tha .,woh konsi chhutti thi ?,shumaar rakhna mushkil hai. shayad 25 .,chudiyon ke douran aap ne sab se ziyada kitney logon se mulaqaat ki hai ?,aik jahan mein bohat se mukhtalif logon se milta hon .,tumhari pasandeeda chhutti konsi he ?
"haan, mein bhi. mujhe lagta hai ke kkhuda aksar ajnabion ko aap ke samnay rakhta hai, aur aap ko is lamhay mein gehray maienay khaiz tareeqon se un ke sath jurne ka mauqa faraham karta hai. kya aap ko kabhi aisa mehsoos hota hai ke aap ajnabion ke baray mein un ke betaye baghair cheeze jantay hain ?",waqai nahi.  aam tor par mukhtasir hotay hain lekin yeh janna dilchasp hai ke log kahan se aa rahay hain aur un ke liye kya ahmiyat rakhta hai,kya aap ab bhi un logon se baat karte hain jin se aap mlitay hain ?,mere khayaal mein yeh Australia tha .,woh konsi chhutti thi ?,shumaar rakhna mushkil hai. shayad 25 .,chudiyon ke douran aap ne sab se ziyada kitney logon se mulaqaat ki hai ?,aik jahan mein bohat se mukhtalif logon se milta hon .
tumhara kya matlab hai,"haan, mein bhi. mujhe lagta hai ke kkhuda aksar ajnabion ko aap ke samnay rakhta hai, aur aap ko is lamhay mein gehray maienay khaiz tareeqon se un ke sath jurne ka mauqa faraham karta hai. kya aap ko kabhi aisa mehsoos hota hai ke aap ajnabion ke baray mein un ke betaye baghair cheeze jantay hain ?",waqai nahi.  aam tor par mukhtasir hotay hain lekin yeh janna dilchasp hai ke log kahan se aa rahay hain aur un ke liye kya ahmiyat rakhta hai,kya aap ab bhi un logon se baat karte hain jin se aap mlitay hain ?,mere khayaal mein yeh Australia tha .,woh konsi chhutti thi ?,shumaar rakhna mushkil hai. shayad 25 .,chudiyon ke douran aap ne sab se ziyada kitney logon se mulaqaat ki hai ?
"mere khayaal mein yeh chhutti hiss ki terhan hai, jisay aksar logon ke liye"" cold reading"" ke tor par dekha jata hai, lekin yeh qabil zikar had tak durust ho sakta hai. mein aik baar kaafi mein aik aadmi ke paas betha aur mujhe apni kamar mein dard mehsoos sunhwa. mein ne ajnabi se poocha ke kya usay dard hai? yeh pata chalta hai ke is ne ain mauqa par kya tha, aur kaha ke is ne aik party mein raqs karte hue aik pathon ko khech liya. mein is se pehlay kabhi nahi mila tha aur nah hi usay dobarah dekha tha .",tumhara kya matlab hai,"haan, mein bhi. mujhe lagta hai ke kkhuda aksar ajnabion ko aap ke samnay rakhta hai, aur aap ko is lamhay mein gehray maienay khaiz tareeqon se un ke sath jurne ka mauqa faraham karta hai. kya aap ko kabhi aisa mehsoos hota hai ke aap ajnabion ke baray mein un ke betaye baghair cheeze jantay hain ?",waqai nahi.  aam tor par mukhtasir hotay hain lekin yeh janna dilchasp hai ke log kahan se aa rahay hain aur un ke liye kya ahmiyat rakhta hai,kya aap ab bhi un logon se baat karte hain jin se aap mlitay hain ?,mere khayaal mein yeh Australia tha .,woh konsi chhutti thi ?,shumaar rakhna mushkil hai. shayad 25 .
"zabardast! yeh dilchasp hai, border line daraona hai .","mere khayaal mein yeh chhutti hiss ki terhan hai, jisay aksar logon ke liye"" cold reading"" ke tor par dekha jata hai, lekin yeh qabil zikar had tak durust ho sakta hai. mein aik baar kaafi mein aik aadmi ke paas betha aur mujhe apni kamar mein dard mehsoos sunhwa. mein ne ajnabi se poocha ke kya usay dard hai? yeh pata chalta hai ke is ne ain mauqa par kya tha, aur kaha ke is ne aik party mein raqs karte hue aik pathon ko khech liya. mein is se pehlay kabhi nahi mila tha aur nah hi usay dobarah dekha tha .",tumhara kya matlab hai,"haan, mein bhi. mujhe lagta hai ke kkhuda aksar ajnabion ko aap ke samnay rakhta hai, aur aap ko is lamhay mein gehray maienay khaiz tareeqon se un ke sath jurne ka mauqa faraham karta hai. kya aap ko kabhi aisa mehsoos hota hai ke aap ajnabion ke baray mein un ke betaye baghair cheeze jantay hain ?",waqai nahi.  aam tor par mukhtasir hotay hain lekin yeh janna dilchasp hai ke log kahan se aa rahay hain aur un ke liye kya ahmiyat rakhta hai,kya aap ab bhi un logon se baat karte hain jin se aap mlitay hain ?,mere khayaal mein yeh Australia tha .,woh konsi chhutti thi ?
""" trisr hinting"" Nami yeh mashq hai jo aik tafrehi khail hai jisay aap awaami jagah par khailtay hain."" di altimit trisr hint"" Nami aik kitaab hai jo is ke baray mein baat karti hai. aap apni takhleeqi salahiyaton ko un logon ka tasawwur karne ke liye istemaal karte hain jin se aap milein ge, aur aap aik tafseel likhte hain, phir aap un ko misbet pegham ya hosla afzaa lafz se jor dete hain. ho sakta hai ke aap ne apne takhayyul mein shopping maal mein surkh topi mein aik no umar larke ko dekha ho, phir maal mein rehtay hue, aap ko koi aisa shakhs mil sakta hai jo is tafseel se mil khata ho. aap zahir karte hain ke aap ke paas is ke liye aik pegham hai aur aap ke paas surkh topi walay larke ke liye pegham hai. phir aap usay meharbani ka pegham den ya jo kuch aap ke dil mein tha. aap ko koi andaza nahi hai, kabhi kabhi aap kisi aisay shakhs se mlitay hain jo waqai mushkil din guzaar raha hota hai, aur kisi ajnabi ko un se mohabbat ka izhaar karne se woh rotay hain .","zabardast! yeh dilchasp hai, border line daraona hai .","mere khayaal mein yeh chhutti hiss ki terhan hai, jisay aksar logon ke liye"" cold reading"" ke tor par dekha jata hai, lekin yeh qabil zikar had tak durust ho sakta hai. mein aik baar kaafi mein aik aadmi ke paas betha aur mujhe apni kamar mein dard mehsoos sunhwa. mein ne ajnabi se poocha ke kya usay dard hai? yeh pata chalta hai ke is ne ain mauqa par kya tha, aur kaha ke is ne aik party mein raqs karte hue aik pathon ko khech liya. mein is se pehlay kabhi nahi mila tha aur nah hi usay dobarah dekha tha .",tumhara kya matlab hai,"haan, mein bhi. mujhe lagta hai ke kkhuda aksar ajnabion ko aap ke samnay rakhta hai, aur aap ko is lamhay mein gehray maienay khaiz tareeqon se un ke sath jurne ka mauqa faraham karta hai. kya aap ko kabhi aisa mehsoos hota hai ke aap ajnabion ke baray mein un ke betaye baghair cheeze jantay hain ?",waqai nahi.  aam tor par mukhtasir hotay hain lekin yeh janna dilchasp hai ke log kahan se aa rahay hain aur un ke liye kya ahmiyat rakhta hai,kya aap ab bhi un logon se baat karte hain jin se aap mlitay hain ?,mere khayaal mein yeh Australia tha .
"to, kya aap aksar khazanay ka shikaar karte hain ?",""" trisr hinting"" Nami yeh mashq hai jo aik tafrehi khail hai jisay aap awaami jagah par khailtay hain."" di altimit trisr hint"" Nami aik kitaab hai jo is ke baray mein baat karti hai. aap apni takhleeqi salahiyaton ko un logon ka tasawwur karne ke liye istemaal karte hain jin se aap milein ge, aur aap aik tafseel likhte hain, phir aap un ko misbet pegham ya hosla afzaa lafz se jor dete hain. ho sakta hai ke aap ne apne takhayyul mein shopping maal mein surkh topi mein aik no umar larke ko dekha ho, phir maal mein rehtay hue, aap ko koi aisa shakhs mil sakta hai jo is tafseel se mil khata ho. aap zahir karte hain ke aap ke paas is ke liye aik pegham hai aur aap ke paas surkh topi walay larke ke liye pegham hai. phir aap usay meharbani ka pegham den ya jo kuch aap ke dil mein tha. aap ko koi andaza nahi hai, kabhi kabhi aap kisi aisay shakhs se mlitay hain jo waqai mushkil din guzaar raha hota hai, aur kisi ajnabi ko un se mohabbat ka izhaar karne se woh rotay hain .","zabardast! yeh dilchasp hai, border line daraona hai .","mere khayaal mein yeh chhutti hiss ki terhan hai, jisay aksar logon ke liye"" cold reading"" ke tor par dekha jata hai, lekin yeh qabil zikar had tak durust ho sakta hai. mein aik baar kaafi mein aik aadmi ke paas betha aur mujhe apni kamar mein dard mehsoos sunhwa. mein ne ajnabi se poocha ke kya usay dard hai? yeh pata chalta hai ke is ne ain mauqa par kya tha, aur kaha ke is ne aik party mein raqs karte hue aik pathon ko khech liya. mein is se pehlay kabhi nahi mila tha aur nah hi usay dobarah dekha tha .",tumhara kya matlab hai,"haan, mein bhi. mujhe lagta hai ke kkhuda aksar ajnabion ko aap ke samnay rakhta hai, aur aap ko is lamhay mein gehray maienay khaiz tareeqon se un ke sath jurne ka mauqa faraham karta hai. kya aap ko kabhi aisa mehsoos hota hai ke aap ajnabion ke baray mein un ke betaye baghair cheeze jantay hain ?",waqai nahi.  aam tor par mukhtasir hotay hain lekin yeh janna dilchasp hai ke log kahan se aa rahay hain aur un ke liye kya ahmiyat rakhta hai,kya aap ab bhi un logon se baat karte hain jin se aap mlitay hain ?
"mein ne is waqt ziyada kya jab mein grade school mein tha aur ziyada waqt tha. mein umooman doston ke sath jata tha. thori der ke liye mein har haftay santa cruise ke kisanon ke bazaar mein jata aur yeh mehsoos karne ki koshish karta ke kya koi aisi cheez hai jo mujhe kisi ajnabi ko batani hai. aam tor par, woh mabham umeed se bharay paighamaat hotay hain, lekin yeh ajeeb hota hai jab mein kuch ajeeb o ghareeb makhsoos baat ko dhaka deta hon .","to, kya aap aksar khazanay ka shikaar karte hain ?",""" trisr hinting"" Nami yeh mashq hai jo aik tafrehi khail hai jisay aap awaami jagah par khailtay hain."" di altimit trisr hint"" Nami aik kitaab hai jo is ke baray mein baat karti hai. aap apni takhleeqi salahiyaton ko un logon ka tasawwur karne ke liye istemaal karte hain jin se aap milein ge, aur aap aik tafseel likhte hain, phir aap un ko misbet pegham ya hosla afzaa lafz se jor dete hain. ho sakta hai ke aap ne apne takhayyul mein shopping maal mein surkh topi mein aik no umar larke ko dekha ho, phir maal mein rehtay hue, aap ko koi aisa shakhs mil sakta hai jo is tafseel se mil khata ho. aap zahir karte hain ke aap ke paas is ke liye aik pegham hai aur aap ke paas surkh topi walay larke ke liye pegham hai. phir aap usay meharbani ka pegham den ya jo kuch aap ke dil mein tha. aap ko koi andaza nahi hai, kabhi kabhi aap kisi aisay shakhs se mlitay hain jo waqai mushkil din guzaar raha hota hai, aur kisi ajnabi ko un se mohabbat ka izhaar karne se woh rotay hain .","zabardast! yeh dilchasp hai, border line daraona hai .","mere khayaal mein yeh chhutti hiss ki terhan hai, jisay aksar logon ke liye"" cold reading"" ke tor par dekha jata hai, lekin yeh qabil zikar had tak durust ho sakta hai. mein aik baar kaafi mein aik aadmi ke paas betha aur mujhe apni kamar mein dard mehsoos sunhwa. mein ne ajnabi se poocha ke kya usay dard hai? yeh pata chalta hai ke is ne ain mauqa par kya tha, aur kaha ke is ne aik party mein raqs karte hue aik pathon ko khech liya. mein is se pehlay kabhi nahi mila tha aur nah hi usay dobarah dekha tha .",tumhara kya matlab hai,"haan, mein bhi. mujhe lagta hai ke kkhuda aksar ajnabion ko aap ke samnay rakhta hai, aur aap ko is lamhay mein gehray maienay khaiz tareeqon se un ke sath jurne ka mauqa faraham karta hai. kya aap ko kabhi aisa mehsoos hota hai ke aap ajnabion ke baray mein un ke betaye baghair cheeze jantay hain ?",waqai nahi.  aam tor par mukhtasir hotay hain lekin yeh janna dilchasp hai ke log kahan se aa rahay hain aur un ke liye kya ahmiyat rakhta hai
haae,"mein ne is waqt ziyada kya jab mein grade school mein tha aur ziyada waqt tha. mein umooman doston ke sath jata tha. thori der ke liye mein har haftay santa cruise ke kisanon ke bazaar mein jata aur yeh mehsoos karne ki koshish karta ke kya koi aisi cheez hai jo mujhe kisi ajnabi ko batani hai. aam tor par, woh mabham umeed se bharay paighamaat hotay hain, lekin yeh ajeeb hota hai jab mein kuch ajeeb o ghareeb makhsoos baat ko dhaka deta hon .","to, kya aap aksar khazanay ka shikaar karte hain ?",""" trisr hinting"" Nami yeh mashq hai jo aik tafrehi khail hai jisay aap awaami jagah par khailtay hain."" di altimit trisr hint"" Nami aik kitaab hai jo is ke baray mein baat karti hai. aap apni takhleeqi salahiyaton ko un logon ka tasawwur karne ke liye istemaal karte hain jin se aap milein ge, aur aap aik tafseel likhte hain, phir aap un ko misbet pegham ya hosla afzaa lafz se jor dete hain. ho sakta hai ke aap ne apne takhayyul mein shopping maal mein surkh topi mein aik no umar larke ko dekha ho, phir maal mein rehtay hue, aap ko koi aisa shakhs mil sakta hai jo is tafseel se mil khata ho. aap zahir karte hain ke aap ke paas is ke liye aik pegham hai aur aap ke paas surkh topi walay larke ke liye pegham hai. phir aap usay meharbani ka pegham den ya jo kuch aap ke dil mein tha. aap ko koi andaza nahi hai, kabhi kabhi aap kisi aisay shakhs se mlitay hain jo waqai mushkil din guzaar raha hota hai, aur kisi ajnabi ko un se mohabbat ka izhaar karne se woh rotay hain .","zabardast! yeh dilchasp hai, border line daraona hai .","mere khayaal mein yeh chhutti hiss ki terhan hai, jisay aksar logon ke liye"" cold reading"" ke tor par dekha jata hai, lekin yeh qabil zikar had tak durust ho sakta hai. mein aik baar kaafi mein aik aadmi ke paas betha aur mujhe apni kamar mein dard mehsoos sunhwa. mein ne ajnabi se poocha ke kya usay dard hai? yeh pata chalta hai ke is ne ain mauqa par kya tha, aur kaha ke is ne aik party mein raqs karte hue aik pathon ko khech liya. mein is se pehlay kabhi nahi mila tha aur nah hi usay dobarah dekha tha .",tumhara kya matlab hai,"haan, mein bhi. mujhe lagta hai ke kkhuda aksar ajnabion ko aap ke samnay rakhta hai, aur aap ko is lamhay mein gehray maienay khaiz tareeqon se un ke sath jurne ka mauqa faraham karta hai. kya aap ko kabhi aisa mehsoos hota hai ke aap ajnabion ke baray mein un ke betaye baghair cheeze jantay hain ?"
haftay ke aakhir mein koi mansoobah hai ?,haae,"mein ne is waqt ziyada kya jab mein grade school mein tha aur ziyada waqt tha. mein umooman doston ke sath jata tha. thori der ke liye mein har haftay santa cruise ke kisanon ke bazaar mein jata aur yeh mehsoos karne ki koshish karta ke kya koi aisi cheez hai jo mujhe kisi ajnabi ko batani hai. aam tor par, woh mabham umeed se bharay paighamaat hotay hain, lekin yeh ajeeb hota hai jab mein kuch ajeeb o ghareeb makhsoos baat ko dhaka deta hon .","to, kya aap aksar khazanay ka shikaar karte hain ?",""" trisr hinting"" Nami yeh mashq hai jo aik tafrehi khail hai jisay aap awaami jagah par khailtay hain."" di altimit trisr hint"" Nami aik kitaab hai jo is ke baray mein baat karti hai. aap apni takhleeqi salahiyaton ko un logon ka tasawwur karne ke liye istemaal karte hain jin se aap milein ge, aur aap aik tafseel likhte hain, phir aap un ko misbet pegham ya hosla afzaa lafz se jor dete hain. ho sakta hai ke aap ne apne takhayyul mein shopping maal mein surkh topi mein aik no umar larke ko dekha ho, phir maal mein rehtay hue, aap ko koi aisa shakhs mil sakta hai jo is tafseel se mil khata ho. aap zahir karte hain ke aap ke paas is ke liye aik pegham hai aur aap ke paas surkh topi walay larke ke liye pegham hai. phir aap usay meharbani ka pegham den ya jo kuch aap ke dil mein tha. aap ko koi andaza nahi hai, kabhi kabhi aap kisi aisay shakhs se mlitay hain jo waqai mushkil din guzaar raha hota hai, aur kisi ajnabi ko un se mohabbat ka izhaar karne se woh rotay hain .","zabardast! yeh dilchasp hai, border line daraona hai .","mere khayaal mein yeh chhutti hiss ki terhan hai, jisay aksar logon ke liye"" cold reading"" ke tor par dekha jata hai, lekin yeh qabil zikar had tak durust ho sakta hai. mein aik baar kaafi mein aik aadmi ke paas betha aur mujhe apni kamar mein dard mehsoos sunhwa. mein ne ajnabi se poocha ke kya usay dard hai? yeh pata chalta hai ke is ne ain mauqa par kya tha, aur kaha ke is ne aik party mein raqs karte hue aik pathon ko khech liya. mein is se pehlay kabhi nahi mila tha aur nah hi usay dobarah dekha tha .",tumhara kya matlab hai
