Intent,Response,Intent (Roman Urdu),Response (Roman Urdu),,,,,Index,,,,,,
Hi Mai,Hello! How are you feeling today?,hello mai,hello! aaj aap kaisa mehsoos kar rahay hain ?,,,,,Pregnancy Questions,,,,,,
I feel worried,Why do you feel that way?,mujhe pareshani mehsoos horahi hai .,aap ko aisa kyun lagta hai ?,,,,,Fertility Qs,,,,,,
I am unable able to get pregnant. I need help.,How long has it been since you started trying to get pregnant?,mein haamla honay ke qabil nahi hon. mujhe madad ki zaroorat hai .,aap ko haamla honay ki koshish shuru kiye hue kitna arsa ho gaya hai ?,,,,,General Hygeine Qs,,,,,,
1 year or less,"If you have just started trying to get pregnant, then there are a few things that could help with your pregnancy and a very important thing is to have sex on your most fertile days. Do you want to know the days on which your chances of pregnancy are higher?",1 saal ya is se kam,"agar aap ne abhi abhi haamla honay ki koshish shuru ki hai, to chand cheeze aisi hain jo aap ke hamal mein madad kar sakti hain aur aik bohat ahem baat yeh hai ke aap –apne sab se ziyada zarkhaiz dinon mein sex/jinsi milap karen. kya aap un dinon ko janna chahtay hain jin mein aap ke hamal ke imkanaat ziyada hotay hain ?",,,,,,,,,,,
"Sure, tell me","It is important to map your menstrual cycle every time to find the right time to get pregnant. Ovulation period usually occurs between 12 to 16 days after the previous menstrual cycle and the 4 to 5 days before ovulation is your most fertile window. The ovulation period differs for each woman and monitoring and noting down your ovulation cycle for 3 to 4 consecutive periods will give you a good idea. Having sex on these days could increase the chances of pregnancy by a great margin. Are you having sex on your fertile window but still haven’t got pregnant?
","zaroor, mujhe bitayen",haamla honay ka sahih waqt talaash karne ke liye har baar –apne mahvari ka naqsha banana zaroori hai. ovulation ka dorania aam tor par pichlle mahvari ke 12 se 16 din ke darmiyan hota hai aur ovulation se 4 se 5 din pehlay aap ki sab se ziyada zarkhaiz khirki hoti hai. beza daani ka dorania har aurat ke liye mukhtalif hota hai aur musalsal 3 se 4 adwaar tak –apne beza daani ke chakkar ki nigrani aur usay note karne se aap ko aik acha andaza hoga. un dinon jinsi taluqaat hamal ke imkanaat ko bohat ziyada margin se barha satke hain. kya aap apni zarkhaiz khirki par sex kar rahay hain lekin phir bhi haamla nahi hue ?,,,,,,,,,,,
How do I keep track of my fertile days?,You can check your fertile days with an app called Clue. It is available on the Playstore. Here is a quick link to the app: https://helloclue.com//,mein –apne zarkhaiz/fertile dinon ka hisaab kaisay rakh sakti hon ?,helloclue. com  naami app ke zariye aap apne zarkhaiz dinon ki jaanch kar satke hain. yeh play store par dastyab hai. app ka fori link yeh hai :  https://helloclue.com//,,,,,,,,,,,
I am having sex on those days but still unable to get pregnant ,"If you are already having sex on your fertile days, then there are a few points that may hinder your pregnancy. These include getting rid of alcohol and smoking, maintaining a normal body weight, apart from this, you can also try eating healthy food and taking prenatal vitamins",mein un dinon sex/jinsi milaap kar rahi hon lekin phir bhi haamla honay se qassar hon .,"agar aap pehlay hi –apne zarkhaiz dinon mein jinsi taluqaat qaim kar rahay hain, to chand nakaat hain jo aap ke hamal mein rukawat ban satke hain. un mein sharaab aur tambaku noshi se chhutkara haasil karna, jismani wazan ko mamool par rakhna shaamil hai, is ke ilawa, aap sehat mand khana khanay aur qabal az paidaiesh vitamins lainay ki koshish kar satke hain .",,,,,,,,,,,
I want to know more about maintaining a normal weight,Maintaining a normal body weight will help with pregnancy even if you have PCOD.,mein aam wazan ko barqarar rakhnay ke baray mein mazeed janna chahta hon .,aam jismani wazan ko barqarar rakhnay se hamal mein madad miley gi chahay aap ke paas pcod ho .,,,,,,,,,,,
,,,,,,,,,,,,,,
I am not able to get pregnant. I need help.,How long has it been since you started trying to get pregnant?,mein haamla honay ke qabil nahi hon. mujhe madad ki zaroorat hai .,aap ko haamla honay ki koshish shuru kiye hue kitna arsa ho gaya hai ?,,,,,,,,,,,
More than 2 years,"If you are trying for a long time and still haven’t got pregnant, then you or your partner may have fertility issues. Both of you need to go for some tests to find out what the issue is. For men, a physical examination and a sperm test will be conducted.
For women, physical examination, ultrasound test, x-ray, blood test, urine test and laparoscopy will be conducted to know the fertility problems.
After diagnosis, you may go for the relevant fertility treatments.
",2 saal se ziyada,"agar aap taweel arsay se koshish kar rahay hain aur phir bhi haamla nahi hue hain, to aap ko ya aap ke saathi ko zarkhaizi/fertlity ke masail ho satke hain. masla kya hai yeh jan-nay ke liye aap dono ko kuch test karwanay ki zaroorat hai. mardon ke liye jismani muaina aur sperm test kya jaye ga .
 khawateen ke liye jismani muaina, ultrasaond test, x-ray, khoon ka test, urine test aur laproscopy karai jaye gi taakay zarkhaizi ke masail maloom hon .
 tashkhees ke baad, aap mutaliqa zarkhaizi ke ilaaj ke liye ja satke hain .",,,,,,,,,,,
What kind of infertility issues do men have?,"Male infertility issues may be due to low sperm count or mobility, infections in reproductive organs or hormonal imbalance. Most of the issues with male infertility are linked to stress, weight, alcohol and smoking.",mardon ko banjh pan ke masail kis qisam ke hotay hain ?,"mardana banjh pan ke masail sperm ki kam tadaad ya naqal o harkat, toleedi aaza mein infection ya hormonal Adam tawazun ki wajah se ho satke hain. mardana banjh pan ke ziyada tar masail tanao, wazan, sharaab noshi aur cigrette noshi se jurey hue hain .",,,,,,,,,,,0.5
What kind of infertility issues do women have?,"There are many infertility issues including endometriosis, fibroids, PCOD, and tubal blockages.  ",khawateen mein banjh pan ke kis qisam ke masail hotay hain ?,"banjh pan ke bohat se masail hain jin mein endometriosis, fibroids, psod, aur nali ki rukawat shaamil hain .",,,,,,,,,,,
How do I know if I have this issue?,"If you are trying for a long time and still haven’t got pregnant, then you or your partner may have fertility issues. Consult a fertility specialist. ",mujhe kaisay pata chalay ga ke mujhe yeh masla hai ?,"agar aap taweel arsay se koshish kar rahay hain aur phir bhi haamla nahi hue hain, to aap ko ya aap ke saathi ko zarkhaizi/fertility ke masail ho satke hain. zarkhaizi ke maahir se mahswara karen .",,,,,,,,,,,
