Intent,Response,Relevance,,Index,,,,,,,,,,,
Hi Mai,Hello! How are you feeling today?,1,,Pregnancy Questions,,How are pregnancy questions different from fertility questions? I would recommend keeping male vs female questions,,,,,,,,,
I feel worried,Why do you feel that way?,1,,Fertility Qs,,,,,,,,,,,
I am unable able to get pregnant. I need help.,How long has it been since you started trying to get pregnant?,1,,General Hygeine Qs,,,,,,,,,,,
1 year or less,"If you have just started trying to get pregnant, then there are a few things that could help with your pregnancy and a very important thing is to have sex on your most fertile days. Do you want to know the days on which your chances of pregnancy are higher?",1,,,,,,,,Index,,,,,
"Sure, tell me","It is important to map your menstrual cycle every time to find the right time to get pregnant. Ovulation period usually occurs between 12 to 16 days after the previous menstrual cycle and the 4 to 5 days before ovulation is your most fertile window. The ovulation period differs for each woman and monitoring and noting down your ovulation cycle for 3 to 4 consecutive periods will give you a good idea. Having sex on these days could increase the chances of pregnancy by a great margin. Are you having sex on your fertile window but still haven’t got pregnant?
",1,,,,,,,,Pregnancy Questions,,,,,
How do I keep track of my fertile days?,You can check your fertile days with an app called Clue. It is available on the Playstore. Here is a quick link to the app: https://helloclue.com//,1,,,,,,,,,,,,,
I am having sex on those days but still unable to get pregnant ,"If you are already having sex on your fertile days, then there are a few points that may hinder your pregnancy. These include getting rid of alcohol and smoking, maintaining a normal body weight, apart from this, you can also try eating healthy food and taking prenatal vitamins",1,,,,,,,,,,,,,
I want to know more about maintaining a normal weight,Maintaining a normal body weight will help with pregnancy even if you have PCOD.,1,,,,,,,,General Hygeine Qs,,,,,
,,,,,,,,,,,,,,,
I am not able to get pregnant. I need help.,How long has it been since you started trying to get pregnant?,0.5,,,,,,,,,,,,,
More than 2 years,"If you are trying for a long time and still haven’t got pregnant, then you or your partner may have fertility issues. Both of you need to go for some tests to find out what the issue is. For men, a physical examination and a sperm test will be conducted.
For women, physical examination, ultrasound test, x-ray, blood test, urine test and laparoscopy will be conducted to know the fertility problems.
After diagnosis, you may go for the relevant fertility treatments.
",0.5,,,,,,,,,,,,,
What kind of infertility issues do men have?,"Male infertility issues may be due to low sperm count or mobility, infections in reproductive organs or hormonal imbalance. Most of the issues with male infertility are linked to stress, weight, alcohol and smoking.",0.5,,,,,,,,,,,,,0.5
What kind of infertility issues do women have?,"There are many infertility issues including endometriosis, fibroids, PCOD, and tubal blockages.  ",0.5,,,,,,,,,,,,,
How do I know if I have this issue?,"If you are trying for a long time and still haven’t got pregnant, then you or your partner may have fertility issues. Consult a fertility specialist. ",0.5,,,,,,,,,,,,,
What is PCOD?,PCOD/PCOS is a condition where high levels of hormones interfere with the ovarian follicles and the release of eggs during ovulation. Regular exercises and healthy diet can bring the hormones in control.,1,,,,,,,,,,,,,
What is Endometriosis?,Endometriosis is a condition where the lining of abdomen goes through changes leading to pain and discomfort.,1,,,,,,,,,,,,,
What are Infections?,"A previous infection in the urinary system like the kidney, bladder, urethra or conditions like gonorrhea and chlamydia may lead to fertility issues. It is important to check with a doctor and take proper medications for it.",0.5,,,,,,,,,,,,,
What are Tubal blockages?,Blockage of the fallopian tubes may stop the sperm from fertilizing the egg making it difficult to get pregnant. This blockage can be detected by HSG test where a dye is passed through the uterus to find any blocks. The blockages can be removed by surgery.,0.5,,,,,,,,,,,,,
What are Fibroids?,"Fibroids are non-cancerous growth inside the uterus that hinders the sperm from reaching the egg. Fibroids can be diagnosed by CT scan, laparoscopy or ultrasound and can be removed surgically.",1,,,,,,,,,,,,,
