Intent,Response,Relevance,Intent (Roman Urdu),Response (Roman Urdu),,Index
Hi Mai,Hey! How can I help you today?,1,Hi Mai,aaj mein aap ki madad kaisay kar sakti hon ?,,General Statements
I feel anxious,Why do you feel that way?,1,mujhe baychaini mehsoos hoti hai,aap ko aisa kyun lagta hai ?,,Period Specific Qs
Because I dont understand periods,"I understand why you feel that way. Luckily, I am quite knowledgeable in menstruation. Feel free to ask me any questions you may have, I am here for you. ",1,kyunkay mujhe mahvari ki samajh nahi aati,"mein samjhti hon ke aap ko aisa kyun lagta hai. khush qismati se, mein mahvari ke baray mein kaafi ilm rakhti hon. bilaa jhijhak mujh se aap ka koi bhi sawal poucheen, mein aap ke liye haazir hon",,General Hygeine Qs
What is a period?,"A period is the part of the menstrual cycle when a woman bleeds from her vagina for a few days. For most women this happens every 28 days. but it's common for periods to be more or less frequent than this, ranging from day 21 to day 40 of their menstrual cycle.",1,mahvari kya hai ?,jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai tou usse mahwaari kehte hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai .lekin uska miqdaar kam ya zyada bhi hosakta hai (21-40 din),,Social Issues with Periods
I got my period and I haven't told my mom yet. It's really hard for me to talk about things like this. I have a lot of questions. What should I do?,"Lots of girls have the same concern. Your mom will be one of your best resources when you have questions about your period, so try to start the conversation yourself! Know that she will be understanding and helpful. Actually, she may be your best friend during this time in your life. Still don’t feel like you can talk to your mom? An aunt, friend’s mom or older sister are also great women to ask.",1,mujhe mahvari ho gayi hai aur mein ne abhi tak apni maa ko nahi bataya. is terhan ki cheezon ke baray mein baat karna mere liye waqai mushkil hai. mere paas bohat saaray sawalaat hain. mein kya karoon ?,"bohat si larkiyon ko yahi tashweesh hai. jab aap ko apni mahvari ke baray mein sawalaat hon ge to aap ki walida aap ke behtareen wasail mein se aik hon gi, lehaza baat cheet khud shuru karne ki koshish karen! jaan len ke woh samajh daar aur madadgaar hogi. darasal, woh aap ki zindagi ke is waqt ke douran aap ki behtareen dost hosakti hai. ab bhi mehsoos nahi hota ke aap apni maa se baat kar satke hain? aik khaala, dost ki maa ya barri behan bhi poochnay ke liye behtareen madad saabit hongi.",,Emergency
"Will anyone, like boys or my mom, notice when I have my period?","No — not unless you tell them! If they ask you, it’s totally up to you to share or not.",1,kya kisi ko jaisay ke larkoon ko ya meri maa ko meri mahvari ki ittilaa hogi ?,"nahi jab tak ke aap inhen nah bitayen! agar woh aap se puchhte hain, to yeh mukammal tor par aap par munhasir hai ke aap ishtiraaq karen ya nah karen .",,
Can I ask you more questions about my period?,Yes! Feel free to ask me your questions.,1,kya mein aap se apni mahvari ke baray mein mazeed sawalaat pooch sakti hon ?,jee haan! bilaa jhijhak mujh se apne sawalaat poucheen .,,
Why am I having it?,"The body produces an egg every month. The uterus lining gets thicker to prepare for a egg that is fertilized in case the woman becomes pregnant. If the egg is not fertilized, the body gets rid of it. The lining is then released from the body as blood through the vagina. This monthly process is called menstruation or a period. So when a girl has her period, her body is just getting rid of a small amount of blood and some unneeded tissue. It is a natural, normal body process for all females as they become women and mature physically.",1,mujhe yeh kyun ho raha hai ?,"jism har mah aik anda peda karta hai. bacha daani/uterus ki parat aik anday ke liye tayyar karne ke liye mouti ho jati hai jo aurat ke haamla honay ki soorat mein khad daali jati hai. agar anday ko fertilise nah kya jaye to jism is se nijaat paata hai. is ke baad Aster ko jism se khoon ke tor par andaam nihani/vagina ke zariye kharij kya jata hai. is mahana amal ko haiz ya muddat kaha jata hai. lehaza jab kisi larki ko mahvari hoti hai, to is ke jism se khoon ki thori si miqdaar aur kuch ghair zaroori tissues nikaltay hain. yeh tamam khawateen ke liye aik fitri, normal jismani amal hai kyunkay woh aurat ban jati hain aur jismani tor par baaligh hoti hain .",,
How long will it last?,"Your period can last between 3 and 8 days, but it will usually last for about 5 days. The bleeding tends to be heaviest in the first 2 days.",1,yeh kab tak chalay ga ?,"aap ka mahvari 3 se 8 din ke darmiyan reh sakta hai, lekin yeh aam tor par taqreeban 5 din tak jari rahay ga. khoon behna pehlay 2 dinon mein sab se ziyada hoga .",,
Is it a one time occurance?,A period occurs every 21 to 35 days starting from around age 12 and occuring upto age 50.,1,kya yeh aik baar ka waqea hai ?,mahvari har 21 se 35 din baad hoti hai. 12 saal ki umar se shuru hota hai aur 50 saal ki umar tak hota hai .,,
"What if I have my period twice in one month, is that normal?","Yes, it’s possible. Why? Some months, your menstrual cycle may last for more or fewer days than the previous month. Or, your cycle may start earlier or later than before. If you usually have a regular cycle, a change in your cycle could indicate a medical condition. In case of any concerns, please talk to your doctor to get individual medical advice.",1,agar mujhe aik mahinay mein do baar haiz aaye to kya yeh mamool hai ?,"haan, yeh mumkin hai. kyun? kuch mahino mein, aap ka mahvari pichlle mahinay ki nisbat ziyada ya kam dinon tak jari reh sakta hai. ya aap ka cycle pehlay ya baad mein shuru ho sakta hai. agar aap ka aam tor par baqaida cycle hai, to aap ke cycle mein tabdeeli tibbi haalat ki nishandahi kar sakti hai. kisi bhi tashweesh ki soorat mein, barah karam infiradi tibbi mahswara haasil karne ke liye apne doctor se baat karen",,
It seems too difficult to keep track of when it will occur,You can track your period with an app called Clue. It is available on the Playstore. Here is a quick link to the app:https://helloclue.com//,1,yeh kab ho ga is ka suraagh lagana bohat mushkil lagta hai,aap clue nami app ke zariye apne mahvari ko track kar satke hain. yeh play store par dastyab hai.app ka aik fori link yeh hai : https://helloclue.com//,,
"Mine dont occur on those times, they are irregular","Your period is irregular if it comes more frequently than 21 days, or you go 35 days or more between periods.",1,mera mahvari be qaida hai .,"aap ki mahvari be qaida hai agar yeh 21 din se ziyada kasrat se aati hai, ya aap mahvari ke darmiyan 35 din ya is se ziyada jatay hain .",,
Why are they irregular?,"Sometimes irregular periods can be caused by some medicines, exercising too much, having a very low or too high body weight, and hormonal imbalances. Please check with your doctor if you feel you have irregular periods. ",1,woh be qaida kyun hain ?,"baaz auqaat be qaida mahvari kuch adwiyaat, bohat ziyada werzish, bohat kam ya bohat ziyada jismani wazan, aur hormonal adam tawazun/imbalance ki wajah se ho sakti hai. agar aap ko lagta hai ke aap ko be qaida mahvari hai to barah karam apne dr se rujoo karen .",,
How should I treat this?,"For irregular periods there usually is no immediate reason to consult your doctor. But if you are concerned, please do so. If you need contraception your doctor can help you with that by prescribing you hormonal contraceptives which do not only reliably prevent unintended pregnancies but can also stabilize your menstrual cycle so that you can better plan for your periods.",1,mein is ka ilaaj kaisay karoon ?,be qaida mahvari ke liye aam tor par –apne dr se mahswara karne ki koi fori wajah nahi hoti. lekin agar aap fikar mand hain to barah karam aisa karen. agar aap ko Maney hamal ki zaroorat ho to aap ka dr aap ko hormonal Maney hamal adwiyaat tajweez karkay is mein aap ki madad karsaktha hai jo nah sirf ghair iraadi hamal ko qabil aetmaad tareeqay se roktay hain balkay aap ke mahvari ko bhi mustahkam kar saktay hain taakay aap apne mahvari ke liye behtar mansoobah bandi kar saken .,,
Can these irregularities lead to other health problems?,"The presence of menstrual irregularities can be a sign of other health problems such as thyroid disease, POI, endometriosis, PCOS, polyps, and uterine fibroids If left untreated, menstrual irregularities can lead to or contribute to other conditions. These possible conditions vary depending on the type of menstrual irregularity, but some include thickening of the lining of the uterus (called endometrial hyperplasia), low bone density, and iron-deficient anemia. It is important for a woman with a menstrual irregularity to speak to a health care provider to determine the cause of the irregularity and to receive appropriate treatment as necessary.",1,kya yeh be zaabtgi/irregularities sehat ke deegar masail ka baais ban sakti hai ?,"mahvari ki be qaadgyon ki mojoodgi deegar sehat ke masail ki alamat ho sakti hai jaisay ke thyroid ki bemari, poi, endometriosis, pcos, polyps, aur uterine fibroids agar ilaaj nah kya jaye to mahvari ki be qaidgi deegar halaat ka baais ban sakti hai ya is mein hissa daal sakti hai. yeh mumkina halaat mahvari ki be qaidgi ki qisam ke lehaaz se mukhtalif hoti hain, lekin kuch mein bacha daani/uterus ki parat ka gaarha hona ( jisay endometrial hyperplasia kaha jata hai ), hadion ki kam kasafat, aur iron ki kami ka khoon ki kami shaamil hain. mahvari ki be qaidgi wali aurat ke liye yeh zaroori hai ke woh be qaidgi ki wajah ka taayun karne ke liye sehat ki dekh bhaal karne walay se baat kere aur zaroorat ke mutabiq munasib ilaaj haasil kere .",,
Can they lead to cancer?,"Menstrual irregularities can sometimes be a sign of an underlying condition that may be associated with a higher risk for cancer. However, heavy or prolonged menstrual bleeding are not known to be associated with cancer.",1,kya woh cancer ka baais ban satke hain ?,"mahvari ki be qaidgi baaz auqaat aik bunyadi haalat ki alamat hosakti hai jo cancer ke ziyada khatray se wabasta hosakti hai. taham, ziyada ya taweel mahvari ka khoon behna cancer se wabasta nahi hai .",,
Oh okay. Thank you Mai,Anytime! Feel free to message me again whenever you have a question.,1,oh theek hai. shukriya maai,koi masla nahi! jab bhi aap ko koi sawal ho to bulaa jhijhak mujhe dobarah msg karen .,,
Can I share something else with you?,Of course.,,kya mein aap ke sath kuch aur share kar sakti hon ?,bilkul .,,
I am afraid I wont be able to go school during my period,"Your period doesn’t have to stop you from doing things you usually do. You can still go to school, help at home, see your friends, play sports and do all the things you would normally do.",1,mujhe dar hai ke mein apne mahvari ke douran school nahi ja sakun gi,"aap ki mahwaari aap ko un kamon se roknay ki zaroorat nahi hai jo aap aam tor par karte hain. aap ab bhi school ja satke hain, ghar mein madad kar satke hain, –apne doston ko dekh satke hain, khail khail satke hain aur woh tamam kaam kar satke hain jo aap aam tor par karte hain .",,
What should I do when I get my period?,You should wash your hands with soap and water and place a sanitary pad in your underwear. Replace the used pad with a new pad every four to eight hours.,1,jab mujhe mahwaari aati hai tou mujhe kya karna chahiye,"apne haath sabun aur pani se dhowen aur,  pad pehne. istemaal shuda pad ko har chaar se aath ghantay baad naye pad se tabdeel karen .",,
