Intent,Response,Intent (Roman Urdu),Response (Roman Urdu),,Index
What is Vaginal Discharge?,"Vaginal discharge is fluid that comes from the vagina and is not a period. It can be clear, white, or off-white in color and have a ealstic like consistency.",andaam nihani/vagina kharij honay wala madah/discharge kya hai ?,"andaam nihani/vagina se kharij honay wala madah/discharge/discharge woh seyal hai jo andaam nihani/vagina se aata hai aur yeh mahvari nahi hai. yeh saaf, safaid, ya of white rang ka ho sakta hai aur is mein mustaqil mizaji ki terhan lachak dar ho sakta hai .",,Women Specific STI Qs
How do I know if I this kind of discharge?,"Normal vaginal discharge occurs in clear or white color. The color can vary throughout your cycle.
It is common to have it at the beginning and the end of your cycle. 
As you approach ovulation (the release of the egg) you may notice mucous down there (it kind of looks like egg white). 
Your body tends to produce the greatest amount of this type of vaginal discharge on the day of ovulation so you may 
want to wear a liner at this time. ",mujhe kaisay pata chalay ga ke agar mein is qisam ka madah/discharge karta hon ?,"aam andaam nihani/vagina kharij honay wala madah/discharge saaf ya safaid rang mein hota hai. rang aap ke poooray daur mein mukhtalif ho sakta hai .
 aap ke cycle ke shuru aur aakhir mein is ka hona aam hai .
 jaisay hi aap beza daani ( anday ka ikhraj ) ke qareeb pahunchte hain aap ko wahan balgham nazar aata hai ( yeh anday ki safedi ki terhan lagta hai ) .
 aap ka jism beza daani ke din is qisam ke andaam nihani/vagina se kharij honay walay madah/discharge ki sab se ziyada miqdaar peda karta hai taakay aap
 is waqt liner pehnana chahtay hain .",,General Questions Related to STIs
Are there other kinds of vaginal discharge?,"Yes. Physiological discharge and abnormal discharge. Physiological discharge usually occurs in the mid of menstrual cycle, also during pregnancy due to hormonal changes. This discharge does not smell and is clear. Abnormal discharge can be a caused by a yeast infection, menopause, or a sexually transmitted infection.",kya andaam nihani/vagina se kharij honay walay madah/discharge ki doosri kasmain hain ?,"jee haan. jismani madah/discharge aur ghair mamooli madah/discharge. jismani madah/discharge aam tor par mahvari ke wast mein hota hai, hamal ke douran bhi hormonal tabdeelion ki wajah se. is madah/discharge se badboo nahi aati aur saaf hai. ghair mamooli madah/discharge khameer ke infection, rajonoorti, ya jinsi tor par muntaqil honay walay infection ki wajah se ho sakta hai .",,
What are the types of Discharge when it comes to Vaginal Health?,"Physiological discharge and abnormal discharge. Physiological discharge usually occurs in the mid of menstrual cycle, also during pregnancy due to hormonal changes. This discharge does not smell and is clear. Abnormal discharge can be a caused by a yeast infection, menopause, or a sexually transmitted infection.",jab andaam nihani/vagina ki sehat ki baat aati hai to kharij honay walay madah/discharge ki aqsam kya hain ?,"jismani madah/discharge aur ghair mamooli madah/discharge. jismani madah/discharge aam tor par mahvari ke wast mein hota hai, hamal ke douran bhi hormonal tabdeelion ki wajah se. is madah/discharge se badboo nahi aati aur saaf hai. ghair mamooli madah/discharge khameer ke infection, rajonoorti, ya jinsi tor par muntaqil honay walay infection ki wajah se ho sakta hai .",,Specific Questions Related to STIs
What are Nonsexually transmitted infections?,These are infections that are not transmitted sexually and include bacterial vaginosis and thrush.,ghair jinsi tor par muntaqil honay walay infection kya hain ?,yeh woh infection hain jo jinsi tor par muntaqil nahi hotay hain aur un mein bacterial vaginosis aur thrush shaamil hain .,,Social Issues with Periods
What is Bacterial Vaginosis?,"This infection is caused due to overgrowth of normal vaginal bugs. It causes discharge that has a fishy odour and grey in colour. The infection can be treated with antibiotics.
",bacterial Vaginosis kya hai ?,yeh infection aam andaam nihani/vagina keeray ke ziyada barh jane ki wajah se hota hai. yeh kharij honay walay madah/discharge ka sabab bantaa hai jis mein machhli ki badboo aur surmai rang hota hai. infection ka ilaaj antibiotics se kya ja sakta hai .,,Health Issues
What is Thrush?,"This infection is caused due to candida, a fungi.
It causes thick whitish creamy vaginal discharge, itching and redness around vagina. The discharge is odourless. 
Fungi usually tend to grow in a warm moist environment hence it is advised to keep the vagina area clean and dry.
",thrush kya hai ?,"yeh infection candida, aik fungus ki wajah se hota hai .
 is se andaam nihani/vagina se gaarha safaid kareemi madah/discharge kharij hota hai, kharish aur andaam nihani/vagina ke gird surkhi hoti hai. kharij honay wala madah/discharge bo ke baghair hai .
 phaphondi aam tor par garam martoob mahol mein barhti hai is liye andaam nihani/vagina ke ilaqay ko saaf aur khushk rakhnay ka mahswara diya jata hai .",,Facts
What is the ideal Female Vagina PH balance?,"pH is the measure of acidity and it is measured on the scale of 0-14. Lower pH value (less than 7) is considered acidic. The normal vaginal pH is acidic (3.8-4.5). This normal pH is maintained by the right balance of normal vaginal bugs, when this balance gets disturbed the pH gets affected that results in different infections.
For instance, in case of bacterial vaginosis the vaginal pH gets alkaline and in case of thrush it gets more acidic.
",misali khawateen ki andaam nihani/vagina pH balance kya hai ?,"pH tezabiyat ka pemana hai aur usay 0-14 ke pemanay par mapa jata hai. kam pi each value ( 7 se kam ) ko tezabi samjha jata hai. aam andaam nihani/vagina ka pi each tezabi hai ( 3. 8-4. 5 ). yeh aam pi each aam andaam nihani/vagina keeray ke sahih tawazun se barqarar rehta hai, jab yeh tawazun baggar jata hai to pi each mutasir hota hai jis ke nateejay mein mukhtalif infection hotay hain .
 misaal ke tor par, bacterial vaginosis ki soorat mein andaam nihani/vagina ka pi each alkaline ho jata hai aur thrush ki soorat mein yeh ziyada tezabi ho jata hai .",,Qs on Sex
What are the types of odor/smells can come from Vagina?,"There is a peculiar vaginal odour, apart from that there are other types of odours that signify any abnormality. 
Among the abnormal smells include fishy odour that occur in case of bacterial vaginosis and one of the sexuallly transmitted infections called trichomoniasis.
If you are watching out for vaginal infection, usually there is some sort of discharge, redness and soreness of the private part along with bad odour.",andaam nihani/vagina se kis qisam ki badboo aa sakti hai ?,"andaam nihani/vagina ki aik ajeeb bo hai, is ke ilawa deegar qisam ki badboo bhi hai jo kisi bhi ghair mamooli baat ki nishandahi karti hai .
 ghair mamooli badboo mein machhli ki badboo bhi shaamil hai jo bacterial vaginosis ki soorat mein hoti hai aur jinsi tor par muntaqil honay walay infection mein se aik jisay trichomoniasis kehte hain .
 agar aap andaam nihani/vagina ke infection ko dekh rahay hain, to aam tor par badboo ke sath sharamgah mein kisi qisam ka madah/discharge, laali aur dard hota hai .",,
I have rashes on my private parts. What should I do?,"There are different causes of rashes in the private part, some are due to infections and others are due to irritants or some other disease. 
Talking about irritants, you might be allergic to any sort of cloth material which you have never used in the past and it’s a new cloth to you. That is true for the detergents as well, as you might not know about the allergy to some chemical until you use it.
Keep the private part dry and clean because moist and unhygienic practices make these rashes worse.
The other causes could be infections like sexually transmitted or non-sexually transmitted infections, but they occur with some other problems like discharge and lumps and bumps in the private part. If you think your rashes are due to some irritant and even then they don’t go away even after changing the material that was the irritant according to you, you must see your doctor to rule out other possible causes of the rash.",meri sharamgah par danay hain. mein kya karoon ?,"private part mein danay niklny ki mukhtalif wajohaat hoti hain, kuch infection ki wajah se hoti hain aur kuch jalan ya kisi aur bemari ki wajah se hoti hain .
 pareshan kin cheezon ke baray mein baat karte hue, aap ko kisi bhi qisam ke kapray se allergy ho sakti hai jisay aap ne maazi mein kabhi istemaal nahi kya aur yeh aap ke liye aik naya kapra hai. yeh detergent ke liye bhi durust hai, kyunkay jab tak aap usay istemaal nahi karte aap ko kisi chemical se allergy ke baray mein maloom nahi hoga .
 private part ko khushk aur saaf rakhen kyunkay num aur ghair sehat bakhash tarz amal un danay ko mazeed kharab kar dete hain .
 doosri wajohaat jinsi tor par muntaqil honay walay ya ghair jinsi tor par muntaqil honay walay infection jaisay infection ho satke hain, lekin yeh kuch deegar masail jaisay kharij honay walay madah/discharge aur private hissay mein ganthon aur tukron ke sath hotay hain. agar aap ko lagta hai ke aap ke danay kisi jalan ki wajah se hain aur phir bhi woh mawaad ko tabdeel karne ke baad bhi khatam nahi hotay hain jo aap ke mutabiq jalan karne wala tha, to aap ko –apne dr se zaroor milna chahiye taakay danay ki deegar mumkina wajohaat ko mustard kya ja sakay .",,
