Intent,Response,Intent (Roman Urdu),Response (Roman Urdu),,Index
Hello,Hi! How can I help you today?,Hello,Hi! Aaj mai aapki madad kaise karsakti hun?,,General Qs
I feel scared,Why do you feel scared?,Mujhe dar lag raha hai ,Aap ko dar kyun lag raha hai?,,Period Qs
I do not know what is happening to me,Can you describe what is happening?,Mai nahi jaanti ke mere saath kya horaha hai,Kya aap bata sakti hai ke aapko kya horaha hai?,,
I am bleeding,Where are you bleeding from?,Mera khoon beh raha hai ,Kahaan se khoon beh raha hai?,,
I am bleeding from my vagina,"This is the cause of menstruation, also known as a period, which is completely normal and every woman experiences. There is nothing to be scared of. If you have any questions regarding periods, feel free to ask me.",mere andaam nihani/vagina se khoon beh raha hai .,yeh mahvari ki wajah hai jisay period bhi kaha jata hai jo ke mukammal tor par normal hai aur har aurat ko tajurbah hota hai. darnay ki koi baat nahi hai. agar aap ko mahvari se mutaliq koi sawal hai to bulaa jhijhak mujh se poucheen .,,
What is menstruation?,"Menstruation, also known as a period, is part of the menstrual cycle when a woman bleeds from her vagina for a few days. For most women this happens every 28 days. but it's common for periods to be more or less frequent than this, ranging from day 21 to day 40 of their menstrual cycle",haiz kya hai?,"haiz, jisay period bhi kaha jata hai, mahvari ka hissa hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ka is se ziyada ya kam kasrat se hona aik aam baat hai. Un ke mahvari 21 din se le kar 40 din tak hosakta hai",,
Why am I having it?,"A period happens because of changes in hormones in the body. Hormones are chemical messengers. The ovaries release the female hormones estrogen and progesterone . These hormones cause the lining of the uterus (or womb) to build up. The built-up lining is ready for a fertilized egg to attach to and start developing. If there is no fertilized egg, the lining breaks down and bleeds. Then the same process happens all over again.",Mujhe ye kyun horaha hai?,mahvari jism mein hormones mein tabdeeli ki wajah se hoti hai. hormones keemiyai messenger hain. beza daani zanana hormone estrogen aur progesterone kharij karti hai. yeh hormones bacha daani ( ya reham ) ki parat ko bananay ka sabab bantay hain. blt up Aster fertilised anday ke sath jornay aur nashonuma shuru karne ke liye tayyar hai. agar koi khad shuda anda nah ho to Aster toot jati hai aur khoon behnay lagta hai. phir wohi amal baar baar hota hai .,,
I feel ashamed of it,I understand how you feel. Periods are a normal occurance for every woman. There is nothing to be ashamed of. I am here to help you with any questions you have about your cycle.  ,Mujhe is par sharam aati hai?,mein samjhti hon ke aap kaisa mehsoos kar rahay hain. mahvari har aurat ke liye mamool ki baat hai. is mein sharminda honay ki koi baat nahi hai. mein aap ke cycle ke baray mein aap ke kisi bhi sawal mein aap ki madad karne ke liye haazir hon .,,
It makes me feel dirty,You do not need to feel dirty during your period. Periods are natural. ,Mujhe ganda mehsoos hota hai,aap ko apni mahvari ke douran ganda mehsoos karne ki zaroorat nahi hai. haiz qudrati hai .,,
I am scared of talking about periods,It is understandable. But you do not need to be scared while sharing with me. Anything that you say is safe with me. I will not share it with anyone.,mein mahvari ke baray mein baat karne se darti hon .,mein samajh sakti hon. lekin mere sath share karte hue aap ko darnay ki zaroorat nahi hai. aap jo bhi kehte hain woh mere paas mehfooz hai. mein usay kisi ke sath share nahi karoon ga .,,
"So, can I share anything about my periods with you?",Yes you can! Please share any menstruation related query or problem that you have.,"to, kya mein aap ke sath apne mahvari ke baray mein kuch bta sakti hon ?",haan tum kar satke ho! barah karam mahvari se mutaliq koi sawal ya masla jo aap ko darpaish ho usay share karen .,,
Why does my back hurt near my period?,Back pain is a common symptom of periods.,mahvari ke qareeb meri kamar mein dard kyun hota hai ?,kamar dard mahvari ki aik aam alamat hai .,,
Is that normal?,Mild back pain is normal and is a symptom of menstruation.,kya ye aam hai?,kamar mein halka dard mamool ki baat hai aur yeh mahvari ki alamat hai .,,
What can I do about my back hurting?,Place a hot water bottle or a heated cloth on your back for a few minutes to soothe the pain.,mein apni peeth mein dard ke baray mein kya kar sakti hon ?,dard ko kam karne ke liye garam pani ki bottle ya garam kapra apni peeth par chand minute ke liye rakhen .,,
What are other symptoms?,"Before or during periods you can have the following symptoms inlcuding bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts",deegar alamaat kya hain ?,"mahvari se pehlay ya is ke douran aap ko mandarja zail alamaat ho sakti hain jin mei aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain .",,
I feel dirty during my period,You do not need to feel dirty during your period. Periods are natural. ,mai apni mahwaari ke doran ganda mehsoos karti hun,aap ko apni mahvari ke douran ganda mehsoos karne ki zaroorat nahi hai. haiz qudrati hai .,,
Can I shower during menstruation,You can shower from the first day till the last. Having a shower does not effect your period in any way.,Kya mai haiz ke doran nahaa sakti hun?,aap pehlay din se aakhri din tak neha satke hain. nahanay se aap ki mahvari par kisi bhi terhan se assar nahi parta hai .,,
Should I care about my cleanniness during my period,You should care about cleanliness during your period. It is important to take care of your hygiene during your period to avoid health problems.,kya mujhe apni mahvari ke douran apni safai ka khayaal rakhna chahiye ?,aap ko apni mahvari ke douran safai ka khayaal rakhna chahiye. sehat ke masail se bachney ke liye apni mahvari ke douran apni hifzaan sehat/hygiene ka khayaal rakhna zaroori hai .,,
How can I take care of my hygeine during periods," It is important to wash your hands before and after changing your pad/cloth. You can use soap, handwash, sanitizer or handwash in order to do it. It is also important to wash your private parts with water before changing your pad every single time.",mahvari ke douran mein apni hifzaan sehat/hygiene ka khayaal kaisay rakh sakti hon .,"apne pad / kapray ko tabdeel karne se pehlay aur baad mein –apne haath dhona zaroori hai. aisa karne ke liye aap sabun, sanitizer ya hand wash istemaal kar satke hain. har baar apna pad tabdeel karne se pehlay –apne sharamgah ko pani se dhona bhi zaroori hai .",,
Why is it important to take care of yourself during menstruation?,"By taking care of menstruation you can avoid problems such as urinary tract infection, fear of spotting, rashes, anxiety, and bad odour.",mahvari ke douran apna khayaal rakhna kyun zaroori hai ?,"mahvari ka khayaal rakh kar aap pishaab ki naali mein infection, dhabbon ka khauf, kharish, be cheeni aur badboo jaisay masail se bach satke hain .",,
Can I eat what I normally eat during my period?,Yes you can!,kya mein apni mahvari ke douran woh kha sakti hon jo mein aam tor par khati hon ?,Haan aap karsakte ho,,
What about foods like tamarind and curd?,Food does not have anything to do with your flow!,Kya mai dahi aur imli jaise khaane kha sakti hun?,khoraak ka aap ke bahao se koi talluq nahi hai !,,
Is it normal for my back to hurt during my period?,Mild back pain is normal and is a symptom of menstruation.,kya mahvari ke douran meri kamar mein dard hona mamool hai ?,kamar mein halka dard mamool ki baat hai aur yeh mahvari ki alamat hai .,,
Why do women have periods?,"A period happens because of changes in hormones in the body. Hormones are chemical messengers. The ovaries release the female hormones estrogen and progesterone . These hormones cause the lining of the uterus (or womb) to build up. The built-up lining is ready for a fertilized egg to attach to and start developing. If there is no fertilized egg, the lining breaks down and bleeds. Then the same process happens all over again.",khawateen ko mahvari kyun hoti hai ?,jism mein hormones mein tabdeeli ki wajah se mahvari hoti hai. hormones keemiyai messenger hain. beza daani zanana hormone estrogen aur progesterone kharij karti hai. yeh hormones bacha daani ( ya reham ) ki parat ko bananay ka sabab bantay hain. blt up lining fertilizer anday ke sath munsalik honay aur nashonuma shuru karne ke liye tayyar hai. agar koi khad shuda anda nah ho to Aster toot jati hai aur khoon behnay lagta hai. phir wohi amal baar baar hota hai .,,
I feel ashamed of my period,I understand how you feel. Periods are a normal occurance for every woman. There is nothing to be ashamed of. I am here to help you with any questions you have about your cycle.  ,mujhe apni mahvari par sharam aati hai .,mein samjhti hon ke aap kaisa mehsoos kar rahay hain. mahvari har aurat ke liye aik aam waqea hai. is mein sharminda honay ki koi baat nahi hai. mein aap ke cycle ke baray mein aap ke kisi bhi sawal mein aap ki madad karne ke liye haazir hon .,,
What are other symptoms of periods?,"Before or during periods you can have the following symptoms inlcuding bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts",mahvari ki doosri alamaat kya hain ?,"mahvari se pehlay ya is ke douran aap ko mandarja zail alamaat ho sakti hain jin mein aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain .",,
What are the symptoms of periods?,"Before or during periods you can have the following symptoms inlcuding bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts",mahvari ki alamaat kya hain ?,"mahvari se pehlay ya is ke douran aap ko mandarja zail alamaat ho sakti hain jin mein aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain .",,
Can I shower on the first day of menstruation?,You can shower from the first day till the last. Having a shower does not effect your period in any way.,Kya mai mahwaari ke pehle din ghusl karsakti hun?,aap pehlay din se aakhri din tak nha satke hain. nahanay se aap ki mahvari par kisi bhi terhan se assar nahi parta hai .a,,
Can I eat foods like tamarind and curd during menstruation or will they disturb my flow?,Food does not have anything to do with your flow!,kya mein haiz ke douran imli aur dahi jaisi ghizayen kha sakta hon ya yeh mere bahao mein khlal dalain ge ?,khoraak ka aap ke bahao se koi talluq nahi hai !,,
Should I stay away from plants during my period?,You dont need to do that. Plants dont have any effect on your flow.,kya mujhe apni mahvari ke douran poudoun se daur rehna chahiye ?,"Aap ko aisa karnay ki zarurat nahi hai, Poudon se kuch nahi hota",,
Can I go near or touch plants during my periods?,Yes you can!,kya mein apni mahvari ke douran poudoun ke qareeb ja sakti hon ya chhoo sakti hon ?,haan aap karsakte ho,,
Should I sleep in a different room when menstruating?,Menstruation is not contagious and causes no harm to anyone in the same room,kya mujhe haiz anay par kisi dosray kamray mein sona chahiye ?,haiz mutaddi nahi hai aur aik hi kamray mein kisi ko koi nuqsaan nahi pohanchata,,
Does physical activity distrub the menstrual flow,"No it does not. Infact, some excercise and sports can actuslly relieve period pain",kya jismani sargarmi mahvari ke bahao mein khlal daalti hai ?,"aisa nahi he. dar haqeeqat, kuch varzishen aur khail mahvari ke dard ko amli tor par daur kar satke hain",,
Can I exercise during periods,"Of course! You can take on whatever sport you love! Run, bike, dance, rock climb! These are just some of the so-called strenuous activities you can absolutely do when you have your period. Your period is not a sickness and you don’t need to rest or take it easy. In fact, healthcare professionals recommend being active as a way to reduce those awful cramps.",Kya mai mahwaari ke dauraan varzish karsakti hun?,"bilkul! aap jo bhi khail pasand karte ho usay le satke hain! Dauro, motorcycle, raqs, raak charhna! yeh sirf chand naam Nihaad sakht sargarmia hain jo aap apni mahvari ke douran bilkul kar satke hain. aap ka dorania koi bemari nahi hai aur aap ko aaraam karne ya aaraam karne ki zaroorat nahi hai. dar haqeeqat, sehat ki dekh bhaal ke pesha war afraad un khofnaak dardon ko kam karne ke tareeqay ke tor par fa-aal rehne ki tajweez karte hain .",,
