Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
"Hello Mai, how are you?","Hello, nice to meet you. Thank you for asking, I am doing amazing, I hope you are doing good too!",hello mai aap kaisi hain ?,"salam. aap se mil kar khushi hui. poochnay ke liye aap ka shukriya, mein bohat acha kar rahi hon, mujhe umeed hai ke aap bhi acha kar rahay hon ge !"
"Yes I am, thank you","So, how can I help you?","haan mein hon, shukriya","to, mein aap ki madad kaisay kar sakta hon ?"
I don't know anything about Infraradian Rhythm. Can you please help me learn about it?,"Sure. The infradian rhythm is one of the two internal timekeepers experienced by women. People with male physiology only experience the circadian rhythm. People with female physiology experience both. The infradian rhythm (and its four phases) track with your menstrual cycle, and alongside affecting the reproductive hormones, it also has an influence the other parts of your body. The infradian rhythm affects our physiology cyclically which is why it supports your body in a cyclical way too. As a woman yourself, in order to have optimal hormonal and overall health, it is ideal that you eat, move, supplement and live in line with this infradian rhythm, which is expressed in your mesntrual cycle in four distinct phases, namely the follicular, ovulatory, luteal and menstrual phase.",mein infraradian rhythm ke baray mein kuch nahi jaanta. kya aap is ke baray mein jan-nay mein meri madad kar satke hain ?,"zaroor! infradian rhythm un do androoni timekeepers mein se aik hai jis ka tajurbah khawateen ne kya hai. mardana physiology walay log sirf circadian taal/rhythm/rhythm ka tajurbah karte hain. khawateen physiology dono ka tajurbah karte hain. infradian rhythm ( aur is ke chaar marahil ) aap ke mahvari ke sath track karta hai, aur toleedi/reproductive hormones ko mutasir karne ke sath, yeh aap ke jism ke dosray hisson par bhi assar andaaz hota hai. infradian taal/rhythm hamari physiology ko chakarati tor par mutasir karta hai jis ki wajah se yeh aap ke jism ko chakarati andaaz mein bhi sahara deta hai. khud aik aurat honay ke natey, behtareen hormonal aur majmoi sehat ke liye, yeh misali hai ke aap khayen, harkat karen, is ki takmeel karen aur is infradian rhythm ke mutabiq rahen, jis ka izhaar aap ke mahvari mein chaar allag allag marahil mein hota hai, yani follicular, ovulatory, luteal aur mahvari ka marhala ."
What happens to my body when I am in the menstrual phase I want to know what happens to my body when I am in the menstrual phase,"Thank you for asking that! A few changes happen. The corpus luteum ( it is a vital yet temporary organ that plays a crucial role in fertility) in your body gets reabsorbed. Simultaneously, progesterone levels decline, your uterus sheds the thick endometrial lining that it has built up in the luteal phase and estrogen hits its lowest point just before your bleed",jab mein mahvari ke marhalay mein hon to mere jism ke sath kya hota hai mein janna chahti hon ke jab mein mahvari ke marhalay mein hon to mere jism ke sath kya hota hai,"yeh poochnay ke liye aap ka shukriya! chand tabdeelian hoti hain. aap ke jism mein corpus luteum ( yeh aik ahem aarzi uzoo/organ hai jo zarkhaizi mein aik ahem kirdaar ada karta hai ) dobarah jazb ho jata hai. is ke sath hi, progestrone ki satah mein kami aati hai, aap ka bacha daani/uterus is moti endometrial aster/lining ko baha deta hai jo is ne luteal marhalay mein banaya tha aur estrogen aap ke khoon se bilkul pehlay –apne sab se nichale maqam par pahonch jata hai ."
Does any changes occur in my brain too?,"Yes, it does! The left (analytical) and right (feeling) hemispheres of your brain communicate the most during this time, which means it’s a great time to integrate how you feel about situations in your life and make decisions about how to proceed. This is an ideal time to reflect and journal. ",kya mere dimagh mein bhi koi tabdeeli aati hai ?,"jee haan! aap ke dimagh ke baen ( tjzyati/analytical ) aur dayen ( ehsas/feeling ) hissa is waqt ke douran sab se ziyada baat cheet karte hain, jis ka matlab hai ke yeh aik behtareen waqt hai ke aap apni zindagi ke halaat ke baray mein kaisa mehsoos karte hain aur agay bherne ke baray mein faislay karen. yeh akkaasi (sochnay) aur jareeday/journal ka behtareen waqt hai ."
When does the Follicular Phase happen,Your follicular phase happens 7 to 10 days after your period ends. ,follicular marhala kab hota hai ?,aap ka follicular marhala aap ki mahvari khatam honay ke 7 se 10 din baad hota hai .
How does my body change during the follicular phase,"A few changes occur. Your reproductive hormones are at their lowest level (which is where they were during your bleed) during the first part of this phase. Estrogen starts to ramp up during the later part of this phase and the lining of your uterus starts to thicken. Your ovaries get ready to release an egg during ovulation (the next phase, metabolism is slower and resting cortisol levels are lower. No significant progesterone or testosterone production during this time and you can feel a little tired during this phase if your hormones are unbalanced.",follicular marhalay ke douran mera jism kaisay badalta hai ?,chand tabdeelian runuma hoti hain. is marhalay ke pehlay hissay ke douran aap ke toleedi/reproductive hormones apni kam tareen satah par hain ( jo woh jagah hai jahan woh aap ke khoon ke douran thay ). is marhalay ke aakhri hissay ke douran estrogen barhna shuru ho jata hai aur aap ke reham ki parat gaarha hona shuru ho jati hai. beza daani/ovary ke douran aap ki beza daani/ovary anda chorney ke liye tayyar ho jati hai ( aglay marhalay mein metabolism sust hota hai aur aaraam karne par cortisol ki satah kam hoti hai. is douran koi khaas progestrone ya testosterone ki pedawar nahi hoti hai aur agar aap ke hormones ghair mutawazan hain to aap is marhalay ke douran thakawat mehsoos kar satke hain .
What happens to my brain when I am in my follicular phase,"The subtle increase in estrogen has you interested in planning out new things and exploring new ideas during this time. Symbolically, this is a phase of new beginnings. ",jab mein apne follicular marhalay mein hon to mere dimagh ko kya hota hai .,"estrogen mein theek theek izafay ne aap ko is waqt ke douran nai cheezon ki mansoobah bandi karne aur naye ideas talaash karne mein dilchaspi li hai. allamti tor par, yeh nai shuruvaat ka aik marhala hai ."
When does the Ovulatory Phase happen,"It happens 3 to 4 days in the middle of your cycle, right after the follicular phase (which lasts for 7 to 10 days) and before the luteal phase (which is the phase just before your period).",ovulatory marhala kab hota hai .,"yeh aap ke chakkar ke wast mein 3 se 4 din hota hai, follicular marhalay ke theek baad ( jo 7 se 10 din tak rehta hai ) aur luteal marhalay se pehlay ( jo ke aap ki mahvari se bilkul pehlay ka marhala hai ) ."
What happens to my body when I am in the ovulatory phase,A few changes occur in your body. Estrogen surges and luteinizing hormone (LH) arrives on the scene to spark the release of an egg. The lining of your uterus gets thicker and testosterone surges then quickly goes back down,jab mein ovulatory marhalay mein hon to mere jism ko kya hota hai .,aap ke jism mein kuch tabdeelian runuma hoti hain. estrogen surges aur luteinizing hormone ( lh ) jaye waqooa par pahonch kar anday ke ikhraj ko bhrhkate hain. aap ke bacha daani/uterus ki aster/lining moti ho jati hai aur testosterone barh jata hai phir taizi se neechay chala jata hai .
