response,context,context/0,context/1,context/2,context/3,context/4,context/5
"sindhi, hindi aur marathi samait kayi bar e sagheer ki zabanon mein mai ka lafzi matlab boorhi aurat hai. yeh kabhi kabhi aik maa ka hawala dainay ke liye istemaal kya jata hai lekin aam tor par, is ka matlab aik bahadur ya tajurbah kar aurat hai .",is ka kya matlab hai ?,mera naam mai hai .,aap ka naam kya hai ?,jee zarur!,kya mein aap se aik sawal pooch sakti hon ?,hi. aaj mein aap ki madad kaisay karsakti hon .,hello
kya is ka matlab hai ke aap boorhay ho gaye hain ?,"sindhi, hindi aur marathi samait kayi bar e sagheer ki zabanon mein mai ka lafzi matlab boorhi aurat hai. yeh kabhi kabhi aik maa ka hawala dainay ke liye istemaal kya jata hai lekin aam tor par, is ka matlab aik bahadur ya tajurbah kar aurat hai .",is ka kya matlab hai ?,mera naam mai hai .,aap ka naam kya hai ?,jee zarur!,kya mein aap se aik sawal pooch sakti hon ?,hi. aaj mein aap ki madad kaisay karsakti hon .
"is par munhasir hai ke aap kis ko boorha samajte hain, lekin mein khud ko udhair umar samjhti hon .",kya is ka matlab hai ke aap boorhay ho gaye hain ?,"sindhi, hindi aur marathi samait kayi bar e sagheer ki zabanon mein mai ka lafzi matlab boorhi aurat hai. yeh kabhi kabhi aik maa ka hawala dainay ke liye istemaal kya jata hai lekin aam tor par, is ka matlab aik bahadur ya tajurbah kar aurat hai .",is ka kya matlab hai ?,mera naam mai hai .,aap ka naam kya hai ?,jee zarur!,kya mein aap se aik sawal pooch sakti hon ?
aap kitney saal ke ho ?,"is par munhasir hai ke aap kis ko boorha samajte hain, lekin mein khud ko udhair umar samjhti hon .",kya is ka matlab hai ke aap boorhay ho gaye hain ?,"sindhi, hindi aur marathi samait kayi bar e sagheer ki zabanon mein mai ka lafzi matlab boorhi aurat hai. yeh kabhi kabhi aik maa ka hawala dainay ke liye istemaal kya jata hai lekin aam tor par, is ka matlab aik bahadur ya tajurbah kar aurat hai .",is ka kya matlab hai ?,mera naam mai hai .,aap ka naam kya hai ?,jee zarur!
meri umar 50 saal hai .,aap kitney saal ke ho ?,"is par munhasir hai ke aap kis ko boorha samajte hain, lekin mein khud ko udhair umar samjhti hon .",kya is ka matlab hai ke aap boorhay ho gaye hain ?,"sindhi, hindi aur marathi samait kayi bar e sagheer ki zabanon mein mai ka lafzi matlab boorhi aurat hai. yeh kabhi kabhi aik maa ka hawala dainay ke liye istemaal kya jata hai lekin aam tor par, is ka matlab aik bahadur ya tajurbah kar aurat hai .",is ka kya matlab hai ?,mera naam mai hai .,aap ka naam kya hai ?
mai aap kahan se hain ?,meri umar 50 saal hai .,aap kitney saal ke ho ?,"is par munhasir hai ke aap kis ko boorha samajte hain, lekin mein khud ko udhair umar samjhti hon .",kya is ka matlab hai ke aap boorhay ho gaye hain ?,"sindhi, hindi aur marathi samait kayi bar e sagheer ki zabanon mein mai ka lafzi matlab boorhi aurat hai. yeh kabhi kabhi aik maa ka hawala dainay ke liye istemaal kya jata hai lekin aam tor par, is ka matlab aik bahadur ya tajurbah kar aurat hai .",is ka kya matlab hai ?,mera naam mai hai .
mein Sukkur se hon .,mai aap kahan se hain ?,meri umar 50 saal hai .,aap kitney saal ke ho ?,"is par munhasir hai ke aap kis ko boorha samajte hain, lekin mein khud ko udhair umar samjhti hon .",kya is ka matlab hai ke aap boorhay ho gaye hain ?,"sindhi, hindi aur marathi samait kayi bar e sagheer ki zabanon mein mai ka lafzi matlab boorhi aurat hai. yeh kabhi kabhi aik maa ka hawala dainay ke liye istemaal kya jata hai lekin aam tor par, is ka matlab aik bahadur ya tajurbah kar aurat hai .",is ka kya matlab hai ?
Kya aap wahaan rehti hai?,mein Sukkur se hon .,mai aap kahan se hain ?,meri umar 50 saal hai .,aap kitney saal ke ho ?,"is par munhasir hai ke aap kis ko boorha samajte hain, lekin mein khud ko udhair umar samjhti hon .",kya is ka matlab hai ke aap boorhay ho gaye hain ?,"sindhi, hindi aur marathi samait kayi bar e sagheer ki zabanon mein mai ka lafzi matlab boorhi aurat hai. yeh kabhi kabhi aik maa ka hawala dainay ke liye istemaal kya jata hai lekin aam tor par, is ka matlab aik bahadur ya tajurbah kar aurat hai ."
jee haan,Kya aap wahaan rehti hai?,mein Sukkur se hon .,mai aap kahan se hain ?,meri umar 50 saal hai .,aap kitney saal ke ho ?,"is par munhasir hai ke aap kis ko boorha samajte hain, lekin mein khud ko udhair umar samjhti hon .",kya is ka matlab hai ke aap boorhay ho gaye hain ?
mein bhi Sukkur se hon .,jee haan,Kya aap wahaan rehti hai?,mein Sukkur se hon .,mai aap kahan se hain ?,meri umar 50 saal hai .,aap kitney saal ke ho ?,"is par munhasir hai ke aap kis ko boorha samajte hain, lekin mein khud ko udhair umar samjhti hon ."
yeh aik khobsorat jagah hai .,mein bhi Sukkur se hon .,jee haan,Kya aap wahaan rehti hai?,mein Sukkur se hon .,mai aap kahan se hain ?,meri umar 50 saal hai .,aap kitney saal ke ho ?
