response,context,context/0,context/1,context/2,context/3,context/4,context/5
The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.,I was wondering what uterus looks like,"The ovaries are small, oval-shaped glands located on either side of your uterus. They produce and store your eggs (also called ovum) and make hormones that control your menstrual cycle and pregnancy. During ovulation, one of your ovaries releases an egg. If a sperm fertilizes this egg, you can become pregnant. Your ovaries continue to release an egg each menstrual cycle until you reach menopause. I hope that answers your question",I wanted to know what an ovary is?,"Sure, in fact you have reached the right person as I have quite a lot of information on menstrual health. What questions do you have for me?","I had some questions about my periods, will you be able to help me?","Hello! My name is Mai, how can I help you today?",Hello 
What happens in a menstrual cycle ,The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.,I was wondering what uterus looks like,"The ovaries are small, oval-shaped glands located on either side of your uterus. They produce and store your eggs (also called ovum) and make hormones that control your menstrual cycle and pregnancy. During ovulation, one of your ovaries releases an egg. If a sperm fertilizes this egg, you can become pregnant. Your ovaries continue to release an egg each menstrual cycle until you reach menopause. I hope that answers your question",I wanted to know what an ovary is?,"Sure, in fact you have reached the right person as I have quite a lot of information on menstrual health. What questions do you have for me?","I had some questions about my periods, will you be able to help me?","Hello! My name is Mai, how can I help you today?"
"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle",What happens in a menstrual cycle ,The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.,I was wondering what uterus looks like,"The ovaries are small, oval-shaped glands located on either side of your uterus. They produce and store your eggs (also called ovum) and make hormones that control your menstrual cycle and pregnancy. During ovulation, one of your ovaries releases an egg. If a sperm fertilizes this egg, you can become pregnant. Your ovaries continue to release an egg each menstrual cycle until you reach menopause. I hope that answers your question",I wanted to know what an ovary is?,"Sure, in fact you have reached the right person as I have quite a lot of information on menstrual health. What questions do you have for me?","I had some questions about my periods, will you be able to help me?"
I am not sure if I understood what a uterine cycle is,"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle",What happens in a menstrual cycle ,The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.,I was wondering what uterus looks like,"The ovaries are small, oval-shaped glands located on either side of your uterus. They produce and store your eggs (also called ovum) and make hormones that control your menstrual cycle and pregnancy. During ovulation, one of your ovaries releases an egg. If a sperm fertilizes this egg, you can become pregnant. Your ovaries continue to release an egg each menstrual cycle until you reach menopause. I hope that answers your question",I wanted to know what an ovary is?,"Sure, in fact you have reached the right person as I have quite a lot of information on menstrual health. What questions do you have for me?"
"Before Ovulation, this cycle physically changes the uterus. 
This is the stage where menstruation happens and it happens during the period – from the time vaginal bleeding starts to the time it ends. Blood from the previous cycle  from inside the uterus is shed through the cervix and vagina. The uterine lining, called the endometrium, is thinnest during this phase. A typical period may last up to 8 days, but on average lasts about five or six.

There are hormones that are involved and those are estrogen and progesterone. Levels of estrogen and progesterone are typically at their lowest. This causes the top layers of the lining to release and leave the body. After ovulation, this involves the Secretory Phase. The Secretory Phase is rom ovulation until the start of the next period. The endometrium (uterine lining)gets ready to support a pregnancy or to break down for menstruation. The cells of the lining make and release many types of chemicals. In this stage, progesterone rises. This causes the uterine lining to stop thickening and prepare for a fertilized egg. Prostaglandins, “PGF2α” and “PGE2”, cause the uterine muscle to cramp. These hormones rise after ovulation and are highest during a period. Cramping helps start the period. Blood vessels shrink and the uterine lining breaks down. The uterine cells produce less of these chemicals if pregnancy happens.",I am not sure if I understood what a uterine cycle is,"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle",What happens in a menstrual cycle ,The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.,I was wondering what uterus looks like,"The ovaries are small, oval-shaped glands located on either side of your uterus. They produce and store your eggs (also called ovum) and make hormones that control your menstrual cycle and pregnancy. During ovulation, one of your ovaries releases an egg. If a sperm fertilizes this egg, you can become pregnant. Your ovaries continue to release an egg each menstrual cycle until you reach menopause. I hope that answers your question",I wanted to know what an ovary is?
Is the ovarian cycle also part of the menstrual cycle? ,"Before Ovulation, this cycle physically changes the uterus. 
This is the stage where menstruation happens and it happens during the period – from the time vaginal bleeding starts to the time it ends. Blood from the previous cycle  from inside the uterus is shed through the cervix and vagina. The uterine lining, called the endometrium, is thinnest during this phase. A typical period may last up to 8 days, but on average lasts about five or six.

There are hormones that are involved and those are estrogen and progesterone. Levels of estrogen and progesterone are typically at their lowest. This causes the top layers of the lining to release and leave the body. After ovulation, this involves the Secretory Phase. The Secretory Phase is rom ovulation until the start of the next period. The endometrium (uterine lining)gets ready to support a pregnancy or to break down for menstruation. The cells of the lining make and release many types of chemicals. In this stage, progesterone rises. This causes the uterine lining to stop thickening and prepare for a fertilized egg. Prostaglandins, “PGF2α” and “PGE2”, cause the uterine muscle to cramp. These hormones rise after ovulation and are highest during a period. Cramping helps start the period. Blood vessels shrink and the uterine lining breaks down. The uterine cells produce less of these chemicals if pregnancy happens.",I am not sure if I understood what a uterine cycle is,"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle",What happens in a menstrual cycle ,The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.,I was wondering what uterus looks like,"The ovaries are small, oval-shaped glands located on either side of your uterus. They produce and store your eggs (also called ovum) and make hormones that control your menstrual cycle and pregnancy. During ovulation, one of your ovaries releases an egg. If a sperm fertilizes this egg, you can become pregnant. Your ovaries continue to release an egg each menstrual cycle until you reach menopause. I hope that answers your question"
"Yes it is! Before ovulation, the ovarian cycle physically changes the ovaries. Would you like to know what are stages of ovarian cycle?",Is the ovarian cycle also part of the menstrual cycle? ,"Before Ovulation, this cycle physically changes the uterus. 
This is the stage where menstruation happens and it happens during the period – from the time vaginal bleeding starts to the time it ends. Blood from the previous cycle  from inside the uterus is shed through the cervix and vagina. The uterine lining, called the endometrium, is thinnest during this phase. A typical period may last up to 8 days, but on average lasts about five or six.

There are hormones that are involved and those are estrogen and progesterone. Levels of estrogen and progesterone are typically at their lowest. This causes the top layers of the lining to release and leave the body. After ovulation, this involves the Secretory Phase. The Secretory Phase is rom ovulation until the start of the next period. The endometrium (uterine lining)gets ready to support a pregnancy or to break down for menstruation. The cells of the lining make and release many types of chemicals. In this stage, progesterone rises. This causes the uterine lining to stop thickening and prepare for a fertilized egg. Prostaglandins, “PGF2α” and “PGE2”, cause the uterine muscle to cramp. These hormones rise after ovulation and are highest during a period. Cramping helps start the period. Blood vessels shrink and the uterine lining breaks down. The uterine cells produce less of these chemicals if pregnancy happens.",I am not sure if I understood what a uterine cycle is,"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle",What happens in a menstrual cycle ,The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.,I was wondering what uterus looks like
Yes I want to know the stages in the ovarian cycle,"Yes it is! Before ovulation, the ovarian cycle physically changes the ovaries. Would you like to know what are stages of ovarian cycle?",Is the ovarian cycle also part of the menstrual cycle? ,"Before Ovulation, this cycle physically changes the uterus. 
This is the stage where menstruation happens and it happens during the period – from the time vaginal bleeding starts to the time it ends. Blood from the previous cycle  from inside the uterus is shed through the cervix and vagina. The uterine lining, called the endometrium, is thinnest during this phase. A typical period may last up to 8 days, but on average lasts about five or six.

There are hormones that are involved and those are estrogen and progesterone. Levels of estrogen and progesterone are typically at their lowest. This causes the top layers of the lining to release and leave the body. After ovulation, this involves the Secretory Phase. The Secretory Phase is rom ovulation until the start of the next period. The endometrium (uterine lining)gets ready to support a pregnancy or to break down for menstruation. The cells of the lining make and release many types of chemicals. In this stage, progesterone rises. This causes the uterine lining to stop thickening and prepare for a fertilized egg. Prostaglandins, “PGF2α” and “PGE2”, cause the uterine muscle to cramp. These hormones rise after ovulation and are highest during a period. Cramping helps start the period. Blood vessels shrink and the uterine lining breaks down. The uterine cells produce less of these chemicals if pregnancy happens.",I am not sure if I understood what a uterine cycle is,"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle",What happens in a menstrual cycle ,The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.
"Following are the phases

Follicular phase. It starts from the start of the period until ovulation.Throughout the menstrual cycle, there are multiple follicles (fluid filled sacs containing eggs) at different stages of development in both ovaries. The period ends about halfway through this phase. One follicle in one of the ovaries becomes the largest of all the follicles. It is called the dominant follicle and is about the size of a grain of sand ( 1-2 cm or 0.4-.8 in). This follicle is the one prepared to be released at ovulation. For most people, the follicular phase lasts 10-22 days, but this can vary from cycle-to-cycle.

The hormone active here is the follicle stimulating hormone (FSH) which is produced in the pituitary gland (a small area at the base of the brain that makes hormones) . FSH tells the ovaries to prepare an egg for ovulation (release of an egg from the ovary). The dominant follicle produces estrogen as it grows, which peaks just before ovulation happens. ",Yes I want to know the stages in the ovarian cycle,"Yes it is! Before ovulation, the ovarian cycle physically changes the ovaries. Would you like to know what are stages of ovarian cycle?",Is the ovarian cycle also part of the menstrual cycle? ,"Before Ovulation, this cycle physically changes the uterus. 
This is the stage where menstruation happens and it happens during the period – from the time vaginal bleeding starts to the time it ends. Blood from the previous cycle  from inside the uterus is shed through the cervix and vagina. The uterine lining, called the endometrium, is thinnest during this phase. A typical period may last up to 8 days, but on average lasts about five or six.

There are hormones that are involved and those are estrogen and progesterone. Levels of estrogen and progesterone are typically at their lowest. This causes the top layers of the lining to release and leave the body. After ovulation, this involves the Secretory Phase. The Secretory Phase is rom ovulation until the start of the next period. The endometrium (uterine lining)gets ready to support a pregnancy or to break down for menstruation. The cells of the lining make and release many types of chemicals. In this stage, progesterone rises. This causes the uterine lining to stop thickening and prepare for a fertilized egg. Prostaglandins, “PGF2α” and “PGE2”, cause the uterine muscle to cramp. These hormones rise after ovulation and are highest during a period. Cramping helps start the period. Blood vessels shrink and the uterine lining breaks down. The uterine cells produce less of these chemicals if pregnancy happens.",I am not sure if I understood what a uterine cycle is,"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle",What happens in a menstrual cycle 
What happens after ovulation?,"Following are the phases

Follicular phase. It starts from the start of the period until ovulation.Throughout the menstrual cycle, there are multiple follicles (fluid filled sacs containing eggs) at different stages of development in both ovaries. The period ends about halfway through this phase. One follicle in one of the ovaries becomes the largest of all the follicles. It is called the dominant follicle and is about the size of a grain of sand ( 1-2 cm or 0.4-.8 in). This follicle is the one prepared to be released at ovulation. For most people, the follicular phase lasts 10-22 days, but this can vary from cycle-to-cycle.

The hormone active here is the follicle stimulating hormone (FSH) which is produced in the pituitary gland (a small area at the base of the brain that makes hormones) . FSH tells the ovaries to prepare an egg for ovulation (release of an egg from the ovary). The dominant follicle produces estrogen as it grows, which peaks just before ovulation happens. ",Yes I want to know the stages in the ovarian cycle,"Yes it is! Before ovulation, the ovarian cycle physically changes the ovaries. Would you like to know what are stages of ovarian cycle?",Is the ovarian cycle also part of the menstrual cycle? ,"Before Ovulation, this cycle physically changes the uterus. 
This is the stage where menstruation happens and it happens during the period – from the time vaginal bleeding starts to the time it ends. Blood from the previous cycle  from inside the uterus is shed through the cervix and vagina. The uterine lining, called the endometrium, is thinnest during this phase. A typical period may last up to 8 days, but on average lasts about five or six.

There are hormones that are involved and those are estrogen and progesterone. Levels of estrogen and progesterone are typically at their lowest. This causes the top layers of the lining to release and leave the body. After ovulation, this involves the Secretory Phase. The Secretory Phase is rom ovulation until the start of the next period. The endometrium (uterine lining)gets ready to support a pregnancy or to break down for menstruation. The cells of the lining make and release many types of chemicals. In this stage, progesterone rises. This causes the uterine lining to stop thickening and prepare for a fertilized egg. Prostaglandins, “PGF2α” and “PGE2”, cause the uterine muscle to cramp. These hormones rise after ovulation and are highest during a period. Cramping helps start the period. Blood vessels shrink and the uterine lining breaks down. The uterine cells produce less of these chemicals if pregnancy happens.",I am not sure if I understood what a uterine cycle is,"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle"
