Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
hi,Hello!,hello,hello !
I've heard that periods are a taboo topic in my culture. I'm not sure if I'm doing everything right when it comes to taking care of myself during my cycle.,Menstruation is a taboo topic in some cultures but it should not be. I am here to clarify any confusions you may have about menstruation.,mein ne suna hai ke periods meri Saqafat mein aik mamnoo mauzo hain. mujhe yaqeen nahi hai ke jab mein –apne cycle ke douran apni dekh bhaal karne ki baat karti hon to mein sab kuch theek kar rahi hon .,baaz saqafton mein haiz aik mamnoo mauzo hai lekin aisa nahi hona chahiye. mein yahan haiz ke baray mein aap ko honay wali kisi uljan ko wazeh karne ke liye haazir hon .
what kind of diet should i follow during my periods,"You can keep your normal diet during your periods. Try drinking more water, eating more fruits and vegetables, and fish because it is rich in protein to tackle period symptoms and low energy levels.",mahvari ke douran mujhe kis qisam ki khoraak ki pairwi karni chahiye ?,"aap mahvari ke douran apni mamool ki khoraak barqarar rakh sakte hain. ziyada pani peenay ki koshish karen, ziyada phal aur sabzian aur machhli khayen kyunkay yeh haiz ki alamaat aur kam tawanai ki satah se nimatnay ke liye protein se bharpoor hota hai ."
is it okay to shower when you're menstruating?,You can shower from the first day till the last. Having a shower does not effect your period in any way.,kya mahvari ke douran ghusal karna theek hai ?,aap pehlay din se aakhri din tak naha sakte hain. nahanay se aap ki mahvari par kisi bhi terhan se assar nahi parta hai .
is it true that girls are getting periods earlier than they used some decades ago?,Some girls will start them earlier. Starting periods early isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18.,kya yeh sach hai ke larkiyon ko mahvari kuch dahaiyo pehlay ki nisbat pehlay aati hai ?,kuch larkiyan inhen pehlay shuru karen gi. mahvari ka jald shuru hona aam tor par tashweesh ka baais nahi hota hai. ziyada tar larkiyon ko 16 se 18 saal ki Umar mein baqaidagi se mahvari anay lagti hai .
hello,Hello! How can I help you today?,hello,hello! aaj mein aap ki madad kaisay kar sakta hon ?
hello,Hello! How can I help you today?,hello,hello! aaj mein aap ki madad kaisay kar sakta hon ?
hello,Hello? How can I help you today?,hello,hello? aaj mein aap ki madad kaisay kar sakta hon ?
hi,Hello! How can I help you today?,hello,hello! aaj mein aap ki madad kaisay kar sakta hon ?
Hi Mai. I feel unwell and am anxious,Why do you feel that way?,hello mai. mein bemaar mehsoos karti hon aur pareshan hon .,aap ko aisa kyun lagta hai ?
I have horrible cramps,"Menstrual cramps are throbbing or cramping pains in the lower abdomen. Most women experience cramps just before or during the early days of their period. To reduce period cramps and pain you can try the following things: placing a heating pad on your belly or lower back, or having a hot bath. Cramps are a pretty standard part of having your period. But if your period pain is so painful that you can’t take part in everyday life, please consult your doctor.",mujhe khofnaak dard hai .,"mahvari ke dard pait ke nichale hissay mein dharaktey dard hain. ziyada tar khawateen ko apni mahvari ke ibtidayi dinon se theek pehlay ya is ke douran dard ka saamna karna parta hai. mahvari ke dard  ko kam karne ke liye aap darj zail cheezon ko aazma sakte hain : –apne pait ya kamar ke nichale hissay par heating pad rakhna, ya garam ghusal karna. dard aap ki mahvari ka aik khobsorat mayaari hissa hai. lekin agar aap ki mahvari ka dard itna takleef da hai ke aap roz marrah ki zindagi mein hissa nahi le sakte to barah karam –apne doctor se rujoo karen ."
what can I do to stop the pain,"To reduce period cramps and pain you can try the following things: placing a heating pad on your belly or lower back, or having a hot bath. Cramps are a pretty standard part of having your period. But if your period pain is so painful that you can’t take part in everyday life, please consult your doctor.",mein dard ko roknay ke liye kya kar sakti hon,"mahvari ke dard pait ke nichale hissay mein dharaktey dard hain. ziyada tar khawateen ko apni mahvari ke ibtidayi dinon se theek pehlay ya is ke douran dard ka saamna karna parta hai. mahvari ke dard  ko kam karne ke liye aap darj zail cheezon ko aazma sakte hain : –apne pait ya kamar ke nichale hissay par heating pad rakhna, ya garam ghusal karna. dard aap ki mahvari ka aik khobsorat mayaari hissa hai. lekin agar aap ki mahvari ka dard itna takleef da hai ke aap roz marrah ki zindagi mein hissa nahi le sakte to barah karam –apne doctor se rujoo karen ."
"there is a myth regarding taking a bath during mentstruation. so I wanted to confirm, can I take a bath during my periods?",You can shower from the first day till the last. Having a shower does not effect your period in any way.,"haiz ke douran ghusal karne ke baray mein aik afsana hai. to mein tasdeeq karna chahta tha, kya mein –apne mahvari ke douran naha sakta hon ?",aap pehlay din se aakhri din tak naha sakte hain. nahanay se aap ki mahvari par kisi bhi terhan se assar nahi parta hai .
i have one more question,Sure! Feel free to ask.,mere paas aik aur sawal hai .,zaroor! bilaa jhijak kahiye .
what should we do to change our mood in period,"You may be experiencing pre-menstrual syndrome or PMS. PMS occurs right before a women gets her period. PMS has the following symptoms inlcuding irritation and mood swings. You may want to exercise, skip salty foods, and cut back on caffeine the week before your period. If your mood is still tricky, talk to your doctor. They may suggest you take medication.",haiz mein apne mood ko badalny ke liye hamein kya karna chahiye ?,"ho sakta hai aap ko mahvari se pehlay ke syndrome ya pms ka saamna ho. PMS aurat ki mahvari se pehlay hi hota hai. pms mein darj zail alamaat hain jin mein chirchira pan aur mood mein tabdeelian shaamil hain. aap apni mahvari se aik hafta pehlay werzish karein, namkeen khaano ko chhorein, aur caffeine ko kam karein. agar aap ka mood ab bhi mushkil hai to –apne doctor se baat karen. woh aap ko dawa lainay ka mashwara day sakte hain "
