Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
Hello ,"Hello! My name is Mai, how can I help you today?",Hello ,"hello! mera naam maai hai, aaj mein aap ki madad kaisay kar sakti hon ?"
"I had some questions about my periods, will you be able to help me?","Sure, in fact you have reached the right person as I have quite a lot of information on menstrual health. What questions do you have for me?","mere mahvari ke baray mein kuch sawalaat thay, kya aap meri madad kar saken ge ?","yakeeni tor par, aap sahih shakhs tak pahonch gaye hain kyunkay mere paas mahvari ki sehat ke baray mein kaafi maloomat hain. aap ke paas mere liye kya sawalaat hain ?"
I wanted to know what an ovary is?,"The ovaries are small, oval-shaped glands located on either side of your uterus. They produce and store your eggs (also called ovum) and make hormones that control your menstrual cycle and pregnancy. During ovulation, one of your ovaries releases an egg. If a sperm fertilizes this egg, you can become pregnant. Your ovaries continue to release an egg each menstrual cycle until you reach menopause. I hope that answers your question",mein janna chahti thi ke beza daani/ovary kya hai ?,"beza daani/ovary chhootey, baizvi shakal ke ghudood hain jo aap ke reham ke dono taraf waqay hain. woh aap ke anday tayyar karte aur zakheera karte hain ( jisay beza bhi kaha jata hai ) aur hormones banatay hain jo aap ke mahvari aur hamal ko control karte hain. beza daani/ovary ke douran, aap ke beza daani/ovary mein se aik anda kharij karta hai. agar koi nutfa is anday ko khad deta hai to aap haamla ho sakti hain. aap ke beza daani/ovary har mahvari ke douran aik anda jari karti rehti hai jab tak ke aap rajunoorti/menopause tak nah pahonch jayen. mujhe umeed hai ke yeh aap ke sawal ka jawab day ga ."
"Oh, right. Thanks. I was also wondering what uterus looks like",The uterus is a hollow muscular organ located in the female pelvis between the bladder and rectum. The ovaries produce the eggs that travel through the fallopian tubes. Once the egg has left the ovary it can be fertilized and implant itself in the lining of the uterus.,"oh, theek hai? shukriya. mein yeh bhi soch rahi thi ke bacha daani/uterus kaisa lagta hai .",bacha daani/uterus aik khokhala azlaati uzoo hai jo khawateen ke sharooni mein masanay aur milaashi ke darmiyan waqay hota hai. beza daani/ovary anday peda karti hai jo fallopian tubes ke zariye safar karti hai. aik baar jab anda beza daani/ovary se nikal jata hai to usay frtilayz kya ja sakta hai aur khud ko bacha daani/uterus ki parat mein lagaya ja sakta hai .
What happens in a menstrual cycle ,"A menstrual cycle starts on the first day of the period and ends at the start of the next period. An entire menstrual cycle usually lasts between 24 and 38 days, but menstrual cycles can vary from person to person, cycle to cycle, and may also change over the years. Some people notice changes in their hair, skin, poop, chronic disease symptoms, mood, migraine headaches, or even in the way they experience sex at different points in the menstrual cycle. The cycle involves Uterine cycle and Ovarian Cycle. Do you understand what a uterine cycle is?",mahvari mein kya hota hai .,"mahvari mahvari ke pehlay din se shuru hoti hai aur agli mahvari ke aaghaz par khatam hoti hai. aik mukammal mahvari aam tor par 24 se 38 din ke darmiyan rehti hai, lekin mahvari ke chakkar 1 shakhs se dosray, cycle se mukhtalif ho satke hain, aur saloon ke douran tabdeel bhi ho satke hain. kuch log –apne balon, jald, pakhana, daimi bemari ki alamaat, mood, dard shaqeeqa ke sir dard, ya yahan tak ke mahvari ke douran mukhtalif maqamat par sex ka tajurbah karne ke andaaz mein tabdeelian mehsoos karte hain. cycle mein yotrn cycle aur avorin cycle shaamil hota hai. kya aap samajte hain ke uterine cycle kya hai ?"
I am not sure if I understood it.,"Okay so before Ovulation, this cycle physically changes the uterus. This is the stage where menstruation happens and it happens during the period – from the time vaginal bleeding starts to the time it ends. Blood from the previous cycle from inside the uterus is shed through the cervix and vagina. The uterine lining, called the endometrium, is thinnest during this phase. A typical period may last up to 8 days, but on average lasts about five or six.",mujhe ye baat shayad samajh nahi aayi hai ,"theek hai to ovulation se pehlay, yeh cycle jismani tor par bacha daani/uterus ko tabdeel karta hai. yeh woh marhala hai jahan haiz aata hai aur yeh muddat ke douran hota hai – jab se andaam nihani/vagina se khoon behna shuru hota hai is ke khatam honay tak. bacha daani/uterus ke andar se pichlle chakkar se khoon grewah aur andaam nihani/vagina ke zariye bahaya jata hai. bacha daani/uterus ki parat, jisay endometrium kaha jata hai, is marhalay ke douran sab se patla hota hai. aik aam muddat 8 din tak chal sakti hai, lekin ausatan taqreeban paanch ya chay rehti hai "
Thank you for answering my questions,"No problem, do you have any more questions for me?",mere sawalaat ke jawab dainay ke liye aap ka shukriya,"koi masla nahi, kya aap ke paas mere liye koi aur sawal hai ?"
"No, bye","Take care, bye","nahi, alwida","apna khayal rakhe, alwida"
Can you tell if hormones play a role in the menstrual cycle?,"Sure! There are hormones that are involved and those are estrogen and progesterone. Levels of estrogen and progesterone are typically at their lowest. This causes the top layers of the lining to release and leave the body. After ovulation, this involves the Secretory Phase, that occurs from ovulation until the start of the next period. The uterine lining gets ready to support a pregnancy or to break down for menstruation. In this stage, progesterone rises. This causes the uterine lining to stop thickening and prepare for a fertilized egg. These hormones rise after ovulation and are highest during a period. Blood vessels shrink and the uterine lining breaks down. The uterine cells produce less of these chemicals if pregnancy happens.",kya aap bta satke hain ke kya hormones mahvari mein koi kirdaar ada karte hain ?,"zaroor! is mein shaamil hormones hain aur woh hain estrogen aur progesterone. Estrogen aur progesterone ki satah aam tor par sab se kam hoti hai. is ki wajah se aster/lining ki oopri tahein jism se bahar nikal jati hain. beza daani/ovary ke baad, is mein secretary Fez shaamil hota hai, jo beza daani/ovary se agli muddat ke aaghaz tak hota hai. bacha daani/uterus ki parat hamal ko sahara dainay ya mahvari ke liye totnay ke liye tayyar ho jati hai. is marhalay mein progesterone barh jata hai. is ki wajah se bacha daani/uterus ki parat gaarha hona band ho jati hai aur fertilized anday ki tayari karti hai. yeh hormone beza daani/ovary ke baad barhatay hain aur muddat ke douran sab se ziyada hotay hain. khoon ki naalian suker jati hain aur bacha daani/uterus ki parat toot jati hai. agar hamal hota hai to bacha daani/uterus ke khaliye un mein se kam chemical peda karte hain ."
Is the ovarian cycle also part of the menstrual cycle? ,"Yes it is! Before ovulation, the ovarian cycle physically changes the ovaries. Would you like to know what are stages of ovarian cycle?",kya reham ka chakkar bhi mahvari ka hissa hai ?,haan yeh hai! beza daani/ovary se pehlay dambagranti cycle jismani tor par beza daani/ovary ko tabdeel karta hai. kya aap janna chahain ge ke dambagranti cycle ke marahil kya hain ?
